date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-08-20,bigdipper,スマスロ 東京リベンジャーズ,6743,7290,2/3,3,130.8
2026-08-20,bigdipper,この素晴らしい世界に祝福を！,1959,5920,2/3,3,111
2026-08-20,bigdipper,スマスロ新鬼武者3,1850,2944,3/3,3,120.9
2026-08-20,bigdipper,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,1197,1877,2/4,4,121.3
2026-08-20,bigdipper,スマスロモンキーターンV,1097,4178,4/5,5,108.8
2026-08-20,bigdipper,スマスロ ゴッドイーター リザレクション,653,1456,2/4,4,115
2026-08-20,bigdipper,ゴーゴージャグラー３,447,2594,5/7,7,105.8
2026-08-20,bigdipper,Lソードアート・オンライン,406,1887,1/2,2,107.2
2026-08-20,bigdipper,スマスロ モンスターハンターライズ,320,2019,2/3,3,105.3
2026-08-20,bigdipper,スマスロ バイオハザードRE:3,186,1400,1/3,3,104.4
2026-08-20,bigdipper,ファンキージャグラー２ＫＴ,89,2446,2/5,5,101.2
2026-08-20,bigdipper,スマスロ北斗の拳 転生の章2,-87,2438,1/4,4,98.8
2026-08-20,bigdipper,スマスロ やじきた道中記参る！,-107,3107,2/3,3,98.8
2026-08-20,bigdipper,ウルトラミラクルジャグラー,-111,1286,1/3,3,97.1
2026-08-20,bigdipper,L東京喰種,-126,1893,2/7,7,97.8
2026-08-20,bigdipper,L真・一騎当千,-164,2374,1/3,3,97.7
2026-08-20,bigdipper,Lパチスロからくりサーカス2,-266,2755,2/6,6,96.8
2026-08-20,bigdipper,マイジャグラーV,-287,1731,2/11,11,94.5
2026-08-20,bigdipper,スマスロ化物語,-345,936,1/4,4,87.7
2026-08-20,bigdipper,スマスロ 攻殻機動隊,-461,1351,1/3,3,88.6
2026-08-20,bigdipper,Lパチスロ炎炎ノ消防隊2,-546,3252,1/3,3,94.4
2026-08-20,bigdipper,回胴式遊技機グランベルム,-648,2228,1/3,3,90.3
2026-08-20,bigdipper,パチスロ　甲鉄城のカバネリ,-674,984,0/3,3,77.2
2026-08-20,bigdipper,L無職転生～異世界行ったら本気だす～,-803,1554,1/2,2,82.8
2026-08-20,bigdipper,スマスロ ビッグドリーム THE GOLDEN PUSHER,-908,1769,0/2,2,82.9
2026-08-20,bigdipper,スロット ソードアート・オンラインⅡ,-958,7331,1/3,3,95.6
2026-08-20,bigdipper,真打 吉宗,-969,2767,0/2,2,88.3
2026-08-20,bigdipper,スマスロ 甲鉄城のカバネリ 海門決戦,-1008,1896,0/7,7,82.3
2026-08-20,bigdipper,Lパチスロからくりサーカス,-1014,4488,1/5,5,92.5
2026-08-20,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,-1232,5512,3/10,10,92.6
2026-08-20,bigdipper,スマスロ とある魔術の禁書目録2,-1236,5323,1/3,3,92.3
2026-08-20,bigdipper,スマスロ ミリオンゴッド-神々の軌跡-,-1306,3798,0/3,3,88.5
2026-08-20,bigdipper,Lパチスロ かぐや様は告らせたい,-1714,2178,0/3,3,73.8
2026-08-20,bigdipper,スロット ワールドダイスター,-1787,4387,1/2,2,86.4
2026-08-20,bigdipper,L戦国乙女5 業火を穿つ宿焔の双刃,-1851,3484,0/4,4,82.3
2026-08-20,bigdipper,L戦国乙女４　戦乱に閃く炯眼の軍師,-2042,2459,0/2,2,72.3
2026-08-20,bigdipper,ヤバチバ,-2271,1996,0/3,3,62.1
2026-08-20,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,-2428,6409,1/8,8,87.4
2026-08-20,bigdipper,スマスロ ストリートファイター6,-3031,2679,0/2,2,62.3
