date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-07-20,bigdipper,,1,7710,0,21,,,367,,367
2026-07-20,bigdipper,,2,8070,0,23,,,351,,351
2026-07-20,bigdipper,,3,4936,22,9,5531,137.4,159,224,548
2026-07-20,bigdipper,,4,3549,17,5,3854,136.2,161,209,710
2026-07-20,bigdipper,,5,4140,14,2,2903,123.4,259,296,2070
2026-07-20,bigdipper,,6,2644,40,11,1188,115,52,66,240
2026-07-20,bigdipper,,7,4832,40,11,,,95,121,439
2026-07-20,bigdipper,,8,3079,24,8,,,96,128,385
2026-07-20,bigdipper,,9,2144,21,9,,,71,102,238
2026-07-20,bigdipper,,10,5011,22,7,-3375,77.5,173,228,716
2026-07-20,bigdipper,,11,3320,37,1,2083,120.9,87,90,3320
2026-07-20,bigdipper,,12,8318,106,4,7250,129.1,76,78,2080
2026-07-20,bigdipper,,13,2893,12,4,,,181,241,723
2026-07-20,bigdipper,,14,6126,56,6,,,99,109,1021
2026-07-20,bigdipper,,41,4895,18,6,,,204,272,816
2026-07-20,bigdipper,,42,2530,19,4,,,110,133,633
2026-07-20,bigdipper,,43,4329,21,1,,,197,206,4329
2026-07-20,bigdipper,,44,7620,26,8,,,224,293,953
2026-07-20,bigdipper,,45,3988,20,2,,,181,199,1994
2026-07-20,bigdipper,,46,3923,10,5,,,262,392,785
2026-07-20,bigdipper,,47,3529,21,2,,,153,168,1765
2026-07-20,bigdipper,,48,5106,22,3,,,204,232,1702
2026-07-20,bigdipper,,49,4952,5,4,,,550,990,1238
2026-07-20,bigdipper,,50,3174,23,3,-1021,89.3,122,138,1058
2026-07-20,bigdipper,,51,7328,79,3,6156,128,89,93,2443
2026-07-20,bigdipper,,52,9444,68,6,896,103.2,128,139,1574
2026-07-20,bigdipper,,53,5611,47,14,,,92,119,401
2026-07-20,bigdipper,,54,8326,74,25,2937,111.8,84,113,333
2026-07-20,bigdipper,,55,6962,59,21,1625,107.8,87,118,332
2026-07-20,bigdipper,,56,6514,42,16,,,112,155,407
2026-07-20,bigdipper,,57,7414,67,15,,,90,111,494
2026-07-20,bigdipper,,120,7730,3,47,6906,129.8,155,2577,164
2026-07-20,bigdipper,,401,5086,13,20,,,154,391,254
2026-07-20,bigdipper,,402,2313,10,7,458,106.6,136,231,330
2026-07-20,bigdipper,,403,4923,24,10,515,103.5,145,205,492
2026-07-20,bigdipper,,404,2715,11,4,68,100.8,181,247,679
2026-07-20,bigdipper,,405,7601,37,18,1431,106.3,138,205,422
2026-07-20,bigdipper,,406,1924,7,7,83,101.4,137,275,275
2026-07-20,bigdipper,,407,7322,38,28,3792,117.3,111,193,262
2026-07-20,bigdipper,,408,1804,4,2,,,301,451,902
2026-07-20,bigdipper,,409,7983,28,29,,,140,285,275
2026-07-20,bigdipper,,410,3718,11,9,-1146,89.7,186,338,413
2026-07-20,bigdipper,パチスロ　バイオハザード　ＲＥ：２,411,2928,17,17,,,86,172,172
2026-07-20,bigdipper,劇場版魔法少女まどか☆マギカ［新編］叛逆の物語,412,4103,17,9,,,158,241,456
2026-07-20,bigdipper,,413,2529,13,9,,,115,195,281
2026-07-20,bigdipper,,414,2280,13,18,453,106.6,74,175,127
2026-07-20,bigdipper,,415,1245,6,5,,,113,208,249
2026-07-20,bigdipper,,416,7190,63,30,906,104.2,77,114,240
2026-07-20,bigdipper,,417,3320,39,10,2479,124.9,68,85,332
2026-07-20,bigdipper,,418,6157,65,32,2656,114.4,63,95,192
2026-07-20,bigdipper,,419,7850,31,53,2427,110.3,93,253,148
2026-07-20,bigdipper,,420,5313,19,30,875,105.5,108,280,177
2026-07-20,bigdipper,,421,3286,12,3,,,219,274,1095
2026-07-20,bigdipper,,422,6844,32,29,4688,122.8,112,214,236
2026-07-20,bigdipper,アレックス ブライト,423,1298,3,3,,,216,433,433
2026-07-20,bigdipper,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,424,8589,33,24,2020,107.8,151,260,358
2026-07-20,bigdipper,L不二子BT,425,1935,7,4,,,176,276,484
2026-07-20,bigdipper,SHAKE BONUS TRIGGER,426,2721,12,3,1625,119.9,181,227,907
2026-07-20,bigdipper,スマスロ ハナビ,427,1371,2,2,,,343,686,686
2026-07-20,bigdipper,Lスーパービンゴネオ,428,1796,5,4,,,200,359,449
2026-07-20,bigdipper,A-SLOT+ ディスクアップ ULTRAREMIX,429,3970,12,9,,,189,331,441
2026-07-20,bigdipper,,430,942,8,4,-535,81.1,79,118,236
2026-07-20,bigdipper,,431,3783,18,8,,,146,210,473
2026-07-20,bigdipper,,432,3616,16,7,,,157,226,517
2026-07-20,bigdipper,,433,3683,41,10,,,72,90,368
2026-07-20,bigdipper,,434,3071,20,5,,,123,154,614
2026-07-20,bigdipper,,435,3887,41,7,,,81,95,555
2026-07-20,bigdipper,,436,3505,29,6,,,100,121,584
2026-07-20,bigdipper,,437,3008,16,3,,,158,188,1003
2026-07-20,bigdipper,,438,3813,42,12,2917,125.5,71,91,318
2026-07-20,bigdipper,,439,1655,8,0,,,207,207,
2026-07-20,bigdipper,,440,6056,67,27,1111,106.1,64,90,224
2026-07-20,bigdipper,,441,2547,18,14,,,80,142,182
2026-07-20,bigdipper,,442,7831,99,81,,,44,79,97
2026-07-20,bigdipper,,443,1619,21,14,,,46,77,116
2026-07-20,bigdipper,,444,3436,33,9,,,82,104,382
2026-07-20,bigdipper,,445,6967,105,18,1160,105.5,57,66,387
2026-07-20,bigdipper,,446,7003,74,18,,,76,95,389
2026-07-20,bigdipper,パチスロ戦国恋姫,447,3448,18,7,1618,115.6,138,192,493
2026-07-20,bigdipper,新ハナビ,448,2986,7,5,,,249,427,597
2026-07-20,bigdipper,ジャグラーガールズSS,449,4179,18,21,1328,110.6,107,232,199
2026-07-20,bigdipper,バーサスリヴァイズ,450,6496,29,18,2667,113.7,138,224,361
2026-07-20,bigdipper,,451,5967,26,15,354,102,146,230,398
2026-07-20,bigdipper,,452,7070,33,17,1306,106.2,141,214,416
2026-07-20,bigdipper,,453,7632,35,21,635,102.8,136,218,363
2026-07-20,bigdipper,,454,6014,27,22,1396,107.7,123,223,273
2026-07-20,bigdipper,,455,1431,5,2,,,204,286,716
2026-07-20,bigdipper,,456,2400,6,8,,,171,400,300
2026-07-20,bigdipper,,457,9394,43,34,1708,106.1,122,218,276
2026-07-20,bigdipper,,458,1788,4,3,,,255,447,596
2026-07-20,bigdipper,,459,6419,20,20,,,160,321,321
2026-07-20,bigdipper,,460,1844,7,5,42,100.8,154,263,369
2026-07-20,bigdipper,,461,5358,16,18,,,158,335,298
2026-07-20,bigdipper,,462,2758,13,5,172,102.1,153,212,552
2026-07-20,bigdipper,,463,5560,24,13,297,101.8,150,232,428
2026-07-20,bigdipper,,464,7291,54,16,489,102.2,104,135,456
2026-07-20,bigdipper,,465,6514,46,14,,,109,142,465
2026-07-20,bigdipper,,466,8026,84,28,9917,141.2,72,96,287
2026-07-20,bigdipper,,467,6714,39,17,1125,105.6,120,172,395
2026-07-20,bigdipper,,468,6570,33,17,2500,112.7,131,199,386
2026-07-20,bigdipper,,469,6752,48,17,3209,115.8,104,141,397
2026-07-20,bigdipper,,470,5163,28,17,-854,94.5,115,184,304
2026-07-20,bigdipper,,471,4534,25,8,1417,110.4,137,181,567
2026-07-20,bigdipper,,472,5082,15,19,,,149,339,267
2026-07-20,bigdipper,,473,6865,37,18,,,125,186,381
2026-07-20,bigdipper,,474,6884,40,15,,,125,172,459
2026-07-20,bigdipper,,475,9864,119,20,12638,142.7,71,83,493
2026-07-20,bigdipper,,476,7958,40,15,,,145,199,531
2026-07-20,bigdipper,,477,7319,71,20,4167,119,80,103,366
2026-07-20,bigdipper,,478,6000,42,15,,,105,143,400
2026-07-20,bigdipper,,479,4323,30,10,639,104.9,108,144,432
2026-07-20,bigdipper,,480,7580,53,17,-1750,92.3,108,143,446
2026-07-20,bigdipper,,481,6015,15,15,1264,107,201,401,401
2026-07-20,bigdipper,,482,8911,20,23,5625,121,207,446,387
2026-07-20,bigdipper,,483,6965,23,11,,,205,303,633
2026-07-20,bigdipper,,484,6232,13,10,,,271,479,623
2026-07-20,bigdipper,,485,2277,6,8,,,163,380,285
2026-07-20,bigdipper,,486,6196,16,22,,,163,387,282
2026-07-20,bigdipper,,487,4401,28,18,1993,115.1,96,157,245
2026-07-20,bigdipper,,488,2387,8,5,,,184,298,477
2026-07-20,bigdipper,,489,6489,44,9,4625,123.8,122,147,721
2026-07-20,bigdipper,,490,3978,13,7,-2250,81.1,199,306,568
2026-07-20,bigdipper,,491,5257,33,34,,,78,159,155
2026-07-20,bigdipper,,492,6183,46,34,255,101.4,77,134,182
2026-07-20,bigdipper,,493,6035,28,9,,,163,216,671
2026-07-20,bigdipper,,494,3396,29,6,,,97,117,566
2026-07-20,bigdipper,,495,6557,47,13,,,109,140,504
2026-07-20,bigdipper,,496,4836,15,5,,,242,322,967
2026-07-20,bigdipper,,497,3208,6,3,,,356,535,1069
2026-07-20,bigdipper,,498,4598,14,6,,,230,328,766
2026-07-20,bigdipper,,499,3763,18,5,1791,115.9,164,209,753
2026-07-20,bigdipper,,500,4151,29,9,-1069,91.4,109,143,461
2026-07-20,bigdipper,,501,2262,16,5,,,108,141,452
2026-07-20,bigdipper,,502,6799,63,14,1708,108.4,88,108,486
2026-07-20,bigdipper,,503,2853,15,33,,,59,190,86
2026-07-20,bigdipper,,504,2236,22,26,2333,134.8,47,102,86
2026-07-20,bigdipper,,505,5676,49,18,472,102.8,85,116,315
2026-07-20,bigdipper,,506,6811,40,20,,,114,170,341
2026-07-20,bigdipper,,507,4963,40,18,70,100.5,86,124,276
2026-07-20,bigdipper,,508,5256,71,15,5167,132.8,61,74,350
2026-07-20,bigdipper,,509,2350,10,9,,,124,235,261
2026-07-20,bigdipper,,510,5522,35,19,-2542,84.7,102,158,291
2026-07-20,bigdipper,,511,4986,31,17,,,104,161,293
2026-07-20,bigdipper,,512,3082,15,6,,,147,205,514
2026-07-20,bigdipper,,513,6620,45,9,6187,131.2,123,147,736
2026-07-20,bigdipper,,514,2819,8,4,,,235,352,705
2026-07-20,bigdipper,,515,5964,50,14,,,93,119,426
2026-07-20,bigdipper,,516,6620,37,19,,,118,179,348
2026-07-20,bigdipper,,517,2445,6,2,,,306,408,1223
2026-07-20,bigdipper,,518,2316,5,19,188,102.7,97,463,122
2026-07-20,bigdipper,,519,4355,14,40,3083,123.6,81,311,109
2026-07-20,bigdipper,,520,3741,17,7,-1021,90.9,156,220,534
