date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-09-02,shinkan,L戦国乙女5 業火を穿つ宿焔の双刃,2636,6591,4/9,9,113.3
2026-09-02,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,1043,1036,3/5,5,133.6
2026-09-02,shinkan,Lパチスロからくりサーカス2,995,1401,4/10,10,123.7
2026-09-02,shinkan,アレックス ブライト,857,2851,1/2,2,110
2026-09-02,shinkan,パチスロ　ディスクアップ２,705,4014,2/4,4,105.9
2026-09-02,shinkan,スマスロ バイオハザードRE:3,660,1853,1/2,2,111.9
2026-09-02,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,506,854,2/3,3,119.8
2026-09-02,shinkan,Lパチスロ戦姫絶唱シンフォギア 正義の歌,456,827,1/2,2,118.4
2026-09-02,shinkan,A-SLOT+異世界かるてっとBT,355,1459,2/2,2,108.1
2026-09-02,shinkan,スロット ソードアート・オンラインⅡ,251,3749,4/12,12,102.2
2026-09-02,shinkan,バーサスリヴァイズ,237,2223,1/3,3,103.6
2026-09-02,shinkan,スマスロ 沖ドキ!DUO アンコール,230,1739,3/4,4,104.4
2026-09-02,shinkan,スマスロ新鬼武者3,204,589,1/3,3,111.5
2026-09-02,shinkan,スマスロ サンダーV,155,3756,1/2,2,101.4
2026-09-02,shinkan,マイジャグラーV,136,4854,19/43,43,100.9
2026-09-02,shinkan,マジカルハロウィン　～Trick or Treat!～,101,544,1/3,3,106.2
2026-09-02,shinkan,スマスロ北斗の拳 転生の章2,75,1957,2/7,7,101.3
2026-09-02,shinkan,スマスロ モンスターハンターライズ,58,1950,3/4,4,101
2026-09-02,shinkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,54,382,1/2,2,104.7
2026-09-02,shinkan,ハッピージャグラーＶＩＩＩ,-10,2060,3/7,7,99.8
2026-09-02,shinkan,スマスロ 攻殻機動隊,-20,1207,1/4,4,99.5
2026-09-02,shinkan,スマスロ化物語,-30,1005,1/6,6,99
2026-09-02,shinkan,スマスロ ゴッドイーター リザレクション,-42,911,2/4,4,98.5
2026-09-02,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-49,91,0/4,4,81.9
2026-09-02,shinkan,ウルトラミラクルジャグラー,-61,2318,1/3,3,99.1
2026-09-02,shinkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,-96,698,2/7,7,95.4
2026-09-02,shinkan,スマスロ シャーマンキング,-96,142,0/2,2,77.4
2026-09-02,shinkan,ゴーゴージャグラー３,-144,2144,3/10,10,97.8
2026-09-02,shinkan,新ハナビ,-147,3830,0/2,2,98.7
2026-09-02,shinkan,Lスマスロ北斗の拳,-176,2127,2/6,6,97.2
2026-09-02,shinkan,Lアズールレーン THE ANIMATION,-193,668,1/3,3,90.3
2026-09-02,shinkan,ファンキージャグラー２ＫＴ,-194,2406,2/5,5,97.3
2026-09-02,shinkan,スマスロモンキーターンV,-195,1554,4/11,11,95.8
2026-09-02,shinkan,スマスロ スーパーリオエース2,-200,212,0/3,3,68.6
2026-09-02,shinkan,スマスロ 甲鉄城のカバネリ 海門決戦,-237,545,3/17,17,85.5
2026-09-02,shinkan,Lパチスロうみねこのなく頃に2,-244,1414,0/2,2,94.3
2026-09-02,shinkan,ジャグラーガールズSS,-257,2044,2/5,5,95.8
2026-09-02,shinkan,L ＨＥＹ！エリートサラリーマン鏡,-260,1933,1/3,3,95.5
2026-09-02,shinkan,スロット ワールドダイスター,-264,2478,1/3,3,96.4
2026-09-02,shinkan,Lタクトオーパス デスティニー,-291,621,1/2,2,84.4
2026-09-02,shinkan,Lソードアート・オンライン,-298,326,0/4,4,69.5
2026-09-02,shinkan,パチスロ　甲鉄城のカバネリ,-300,2565,1/2,2,96.1
2026-09-02,shinkan,この素晴らしい世界に祝福を！,-331,1453,1/3,3,92.4
2026-09-02,shinkan,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,-345,1007,0/2,2,88.6
2026-09-02,shinkan,ネオアイムジャグラーEX,-359,2756,10/33,33,95.7
2026-09-02,shinkan,L南国育ち SPECIAL,-395,2423,0/2,2,94.6
2026-09-02,shinkan,スマスロ ハナビ,-427,3225,1/3,3,95.6
2026-09-02,shinkan,戦国コレクション6,-429,2639,0/3,3,94.6
2026-09-02,shinkan,ミスタージャグラー,-460,1807,0/3,3,91.5
2026-09-02,shinkan,沖ドキ！ＧＯＬＤ-30,-573,2177,2/9,9,91.2
2026-09-02,shinkan,スマスロ スーパーブラックジャック,-600,665,0/2,2,69.9
2026-09-02,shinkan,L東京喰種,-618,1449,5/13,13,85.8
2026-09-02,shinkan,スマスロ ミリオンゴッド-神々の軌跡-,-724,2723,2/10,10,91.1
2026-09-02,shinkan,スマスロ 東京リベンジャーズ,-794,965,0/4,4,72.6
2026-09-02,shinkan,沖ドキ!ゴージャス 30Φ,-833,3283,0/3,3,91.5
2026-09-02,shinkan,真打 吉宗,-898,1454,1/6,6,79.4
2026-09-02,shinkan,Lパチスロ炎炎ノ消防隊2,-1032,2806,1/3,3,87.7
2026-09-02,shinkan,A-SLOT+ ディスクアップ ULTRAREMIX,-1145,2051,0/2,2,81.4
2026-09-02,shinkan,スマスロ やじきた道中記参る！,-1199,2027,1/5,5,80.3
2026-09-02,shinkan,スマスロ とある魔術の禁書目録2,-1359,1961,2/5,5,76.9
2026-09-02,shinkan,Lパチスロ喰霊-零-Re,-1628,3689,0/3,3,85.3
2026-09-02,shinkan,スマスロ ストリートファイター6,-1756,1724,0/5,5,66
