date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-08-10,stardust,スロット ソードアート・オンラインⅡ,1887,7004,3/5,5,109
2026-08-10,stardust,スマスロ ストリートファイター6,1475,2245,2/4,4,121.9
2026-08-10,stardust,スマスロ ミリオンゴッド-神々の軌跡-,1473,3031,3/7,7,116.2
2026-08-10,stardust,スマスロモンキーターンV,708,3952,2/5,5,106
2026-08-10,stardust,ウルトラミラクルジャグラー,546,3062,2/4,4,105.9
2026-08-10,stardust,スマスロ サンダーV,542,2958,1/2,2,106.1
2026-08-10,stardust,ミスタージャグラー,376,1506,1/4,4,108.3
2026-08-10,stardust,スマスロBIRDIE WING-Golf Girls’ Story-,205,1336,2/2,2,105.1
2026-08-10,stardust,Lスマスロ北斗の拳,168,2898,4/6,6,101.9
2026-08-10,stardust,ネオアイムジャグラーEX,163,2623,3/5,5,102.1
2026-08-10,stardust,スマスロ とある魔術の禁書目録2,87,7319,2/5,5,100.4
2026-08-10,stardust,いざ！番長,57,2253,1/3,3,100.8
2026-08-10,stardust,L東京喰種,-1,3809,3/8,8,100
2026-08-10,stardust,ハッピージャグラーＶＩＩＩ,-7,1263,1/3,3,99.8
2026-08-10,stardust,マイジャグラーV,-32,3742,6/16,16,99.7
2026-08-10,stardust,スマスロ ハナビ,-54,998,2/4,4,98.2
2026-08-10,stardust,スマスロ北斗の拳 転生の章2,-93,2814,3/12,12,98.9
2026-08-10,stardust,スマスロ スーパーリオエース2,-247,840,1/3,3,90.2
2026-08-10,stardust,ジャグラーガールズSS,-315,2447,1/4,4,95.7
2026-08-10,stardust,真打 吉宗,-418,3827,2/5,5,96.4
2026-08-10,stardust,スマスロケロット5BT,-608,1690,0/2,2,88
2026-08-10,stardust,L戦国乙女5 業火を穿つ宿焔の双刃,-691,2778,1/6,6,91.7
2026-08-10,stardust,ゴーゴージャグラー３,-705,2082,0/6,6,88.7
2026-08-10,stardust,ファンキージャグラー２ＫＴ,-717,3306,1/8,8,92.8
2026-08-10,stardust,Lパチスロ炎炎ノ消防隊2,-1096,1894,0/3,3,80.7
2026-08-10,stardust,スマスロ バイオハザードRE:3,-1292,1156,0/3,3,62.7
2026-08-10,stardust,スマスロ化物語,-1330,1789,0/2,2,75.2
2026-08-10,stardust,Lパチスロからくりサーカス2,-1359,5042,2/6,6,91
2026-08-10,stardust,スマスロ 甲鉄城のカバネリ 海門決戦,-1399,2710,1/6,6,82.8
2026-08-10,stardust,戦国コレクション6,-1461,3687,0/2,2,86.8
2026-08-10,stardust,スロット ワールドダイスター,-1536,3220,0/2,2,84.1
2026-08-10,stardust,スマスロ やじきた道中記参る！,-3485,6086,0/3,3,80.9
