date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-09-09,honkan,Lパチスロ彼女、お借りします,2040,6822,3/3,3,110
2026-09-09,honkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,1644,3965,3/6,6,113.8
2026-09-09,honkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1458,2139,1/2,2,122.7
2026-09-09,honkan,モグモグ風林火山 大海戦の巻,1435,3837,1/3,3,112.5
2026-09-09,honkan,沖ドキ！BLACK,1209,3275,4/4,4,112.3
2026-09-09,honkan,L ToLOVEるダークネス TRANCE ver.8.7,1082,4472,2/3,3,108.1
2026-09-09,honkan,スロット ワールドダイスター,1002,3616,2/2,2,109.2
2026-09-09,honkan,スマスロモンキーターンV,874,1968,3/7,7,114.8
2026-09-09,honkan,キングハナハナ-30,775,5352,6/10,10,104.8
2026-09-09,honkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,671,2264,1/3,3,109.9
2026-09-09,honkan,スマスロ シャーマンキング,603,1186,1/3,3,117
2026-09-09,honkan,Lパチスロ革命機ヴァルヴレイヴ2,505,670,1/3,3,125.1
2026-09-09,honkan,マイジャグラーV,501,6425,29/48,48,102.6
2026-09-09,honkan,スマスロ 東京リベンジャーズ,476,1915,1/3,3,108.3
2026-09-09,honkan,スマスロ タコスロ,357,4394,1/2,2,102.7
2026-09-09,honkan,スマート沖スロ ニューキングハナハナV,304,4549,3/5,5,102.2
2026-09-09,honkan,Lスマスロ北斗の拳,203,2328,4/7,7,102.9
2026-09-09,honkan,真打 吉宗,201,1615,2/6,6,104.1
2026-09-09,honkan,ネオアイムジャグラーEX,193,3653,10/26,26,101.8
2026-09-09,honkan,ゴーゴージャグラー３,106,4033,7/14,14,100.9
2026-09-09,honkan,スマスロ ゴッドイーター リザレクション,105,574,1/3,3,106.1
2026-09-09,honkan,戦国コレクション6,103,861,2/3,3,104
2026-09-09,honkan,沖ドキ！ＧＯＬＤ-30,49,3397,7/16,16,100.5
2026-09-09,honkan,スマスロ リコリス・リコイル,-8,7575,7/13,13,100
2026-09-09,honkan,L東京喰種,-29,2661,6/17,17,99.6
2026-09-09,honkan,スマスロ 甲鉄城のカバネリ 海門決戦,-95,2911,5/15,15,98.9
2026-09-09,honkan,Lパチスロからくりサーカス2,-127,584,1/3,3,92.7
2026-09-09,honkan,L戦国乙女5 業火を穿つ宿焔の双刃,-191,7846,3/8,8,99.2
2026-09-09,honkan,ニューキングハナハナV‐30,-196,2988,1/3,3,97.8
2026-09-09,honkan,スマスロ北斗の拳 転生の章2,-210,1999,2/6,6,96.5
2026-09-09,honkan,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,-261,1089,1/3,3,92
2026-09-09,honkan,ファンキージャグラー２ＫＴ,-321,4604,3/8,8,97.7
2026-09-09,honkan,スマスロ 攻殻機動隊,-345,1611,2/4,4,92.9
2026-09-09,honkan,スマスロ ミリオンゴッド-神々の軌跡-,-446,3241,3/10,10,95.4
2026-09-09,honkan,ウルトラミラクルジャグラー,-496,2663,1/4,4,93.8
2026-09-09,honkan,スマスロ ハナビ,-498,1863,0/3,3,91.1
2026-09-09,honkan,Lパチスロ炎炎ノ消防隊2,-565,1366,0/3,3,86.2
2026-09-09,honkan,ハッピージャグラーＶＩＩＩ,-571,2703,0/4,4,93
2026-09-09,honkan,スマスロ ストリートファイター6,-592,832,0/2,2,76.3
2026-09-09,honkan,Lアズールレーン THE ANIMATION,-648,1036,0/2,2,79.2
2026-09-09,honkan,ジャグラーガールズSS,-673,3373,0/5,5,93.3
2026-09-09,honkan,スマスロ とある魔術の禁書目録2,-694,970,1/5,5,76.1
2026-09-09,honkan,ミスタージャグラー,-726,2109,0/3,3,88.5
2026-09-09,honkan,スマスロ 沖ドキ!DUO アンコール,-772,2596,1/4,4,90.1
2026-09-09,honkan,スマスロ モンスターハンターライズ,-800,1071,0/3,3,75.1
2026-09-09,honkan,Lラブ嬢3～Wご指名はいかがですか?～,-895,2090,0/2,2,85.7
2026-09-09,honkan,L南国育ち SPECIAL,-989,2423,1/3,3,86.4
2026-09-09,honkan,スロット ソードアート・オンラインⅡ,-1066,5739,2/10,10,93.8
2026-09-09,honkan,スマスロ化物語,-1096,2312,0/2,2,84.2
2026-09-09,honkan,Lパチスロ喰霊-零-Re,-1198,5001,1/2,2,92
2026-09-09,honkan,スマスロ やじきた道中記参る！,-1222,2631,0/4,4,84.5
2026-09-09,honkan,L青春ブタ野郎はバニーガール先輩の夢を見ない,-1293,5104,1/4,4,91.6
2026-09-09,honkan,いざ！番長,-1460,2505,0/3,3,80.6
2026-09-09,honkan,チバリヨ2,-1699,2583,1/3,3,78.1
2026-09-09,honkan,沖ドキ!ゴージャス 30Φ,-1752,5078,0/7,7,88.5
