date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-03-12,shinkan,,2001,1641,4,8,-195,96,137,410,205
2026-03-12,shinkan,,2002,3529,14,7,110,101,168,252,504
2026-03-12,shinkan,,2003,337,0,0,-397,60.7,,,
2026-03-12,shinkan,,2004,145,0,0,-99,77.2,,,
2026-03-12,shinkan,,2005,2082,6,3,-599,90.4,231,347,694
2026-03-12,shinkan,,2006,238,0,0,-297,58.4,,,
2026-03-12,shinkan,,2007,2704,7,8,-596,92.7,180,386,338
2026-03-12,shinkan,,2008,9670,36,27,512,101.8,153,269,358
2026-03-12,shinkan,,2009,200,0,0,-198,67,,,
2026-03-12,shinkan,,2010,2639,11,9,606,107.7,132,240,293
2026-03-12,shinkan,,2011,533,1,1,-193,87.9,267,533,533
2026-03-12,shinkan,,2012,2511,3,9,-1388,81.6,209,837,279
2026-03-12,shinkan,,2013,842,2,1,-303,88,281,421,842
2026-03-12,shinkan,,2014,1579,5,3,-399,91.6,197,316,526
2026-03-12,shinkan,,2015,5352,27,18,1909,111.9,119,198,297
2026-03-12,shinkan,,2016,2372,10,7,209,102.9,140,237,339
2026-03-12,shinkan,,2017,2142,6,5,-590,90.8,195,357,428
2026-03-12,shinkan,,2018,8630,33,28,496,101.9,141,262,308
2026-03-12,shinkan,,2019,1089,3,2,-198,93.9,218,363,545
2026-03-12,shinkan,,2020,1384,2,3,-905,78.2,277,692,461
2026-03-12,shinkan,,2021,2142,3,7,-1089,83.1,214,714,306
2026-03-12,shinkan,,2022,1503,5,2,-398,91.2,215,301,752
2026-03-12,shinkan,,2023,1647,4,1,-799,83.8,329,412,1647
2026-03-12,shinkan,,2024,3655,8,11,-1302,88.1,192,457,332
2026-03-12,shinkan,,2025,4399,16,11,-100,99.2,163,275,400
2026-03-12,shinkan,,2026,1812,4,5,-597,89,201,453,362
2026-03-12,shinkan,,2027,1389,3,1,-796,80.9,347,463,1389
2026-03-12,shinkan,,2028,3025,11,8,0,100,159,275,378
2026-03-12,shinkan,,2029,4622,15,13,-699,95,165,308,356
2026-03-12,shinkan,,2030,2652,6,5,-1496,81.2,241,442,530
2026-03-12,shinkan,,2031,572,2,0,-296,82.8,286,286,
2026-03-12,shinkan,,2032,6619,30,27,2100,110.6,116,221,245
2026-03-12,shinkan,,2033,851,2,2,-396,84.5,213,426,426
2026-03-12,shinkan,,2034,1162,1,3,-798,77.1,291,1162,387
2026-03-12,shinkan,,2035,1026,6,1,408,113.3,147,171,1026
2026-03-12,shinkan,,2036,4014,21,8,709,105.9,138,191,502
2026-03-12,shinkan,,2037,2845,16,6,1012,111.9,129,178,474
2026-03-12,shinkan,,2038,2376,10,4,-193,97.3,170,238,594
2026-03-12,shinkan,,2039,3437,10,13,-505,95.1,149,344,264
2026-03-12,shinkan,,2040,1287,7,1,111,102.9,161,184,1287
2026-03-12,shinkan,,2041,1755,7,5,204,103.9,146,251,351
2026-03-12,shinkan,,2042,3102,9,11,-592,93.6,155,345,282
2026-03-12,shinkan,,2043,131,0,0,-104,73.5,,,
2026-03-12,shinkan,,2044,4789,24,7,604,104.2,154,200,684
2026-03-12,shinkan,,2045,815,1,0,-590,75.9,815,815,
2026-03-12,shinkan,,2046,1419,5,4,-102,97.6,158,284,355
2026-03-12,shinkan,,2047,946,4,3,113,104,135,237,315
2026-03-12,shinkan,,2048,2620,11,6,-96,98.8,154,238,437
2026-03-12,shinkan,,2049,4553,14,16,-390,97.1,152,325,285
2026-03-12,shinkan,,2050,3377,14,11,313,103.1,135,241,307
2026-03-12,shinkan,,2051,962,1,2,-798,72.3,321,962,481
2026-03-12,shinkan,,2052,3524,11,4,-1089,89.7,235,320,881
2026-03-12,shinkan,,2053,1519,1,5,-1191,73.9,253,1519,304
2026-03-12,shinkan,,2054,970,0,3,-996,65.8,323,,323
2026-03-12,shinkan,,2055,4320,19,9,-102,99.2,154,227,480
2026-03-12,shinkan,,2056,3461,13,0,219,102.1,266,266,
2026-03-12,shinkan,,2057,0,0,0,0,,,,
2026-03-12,shinkan,,2058,1583,6,0,-505,89.4,264,264,
2026-03-12,shinkan,,2059,0,0,0,0,,,,
2026-03-12,shinkan,,2060,837,0,4,-594,76.3,209,,209
2026-03-12,shinkan,,2061,0,0,0,0,,,,
2026-03-12,shinkan,,2062,901,0,5,-897,66.8,180,,180
2026-03-12,shinkan,,2063,1488,0,1,3094,169.3,1488,,1488
2026-03-12,shinkan,,2064,0,0,0,0,,,,
2026-03-12,shinkan,,2065,1840,0,10,-396,92.8,184,,184
2026-03-12,shinkan,,2066,0,0,0,0,,,,
2026-03-12,shinkan,,2067,0,0,0,0,,,,
2026-03-12,shinkan,,2068,439,0,0,-501,62,,,
2026-03-12,shinkan,,2069,1572,0,2,-698,85.2,786,,786
2026-03-12,shinkan,,2070,602,0,1,313,117.3,602,,602
2026-03-12,shinkan,,2071,0,0,0,0,,,,
2026-03-12,shinkan,,2072,940,0,1,-1195,57.6,940,,940
2026-03-12,shinkan,,2073,256,1,3,310,140.4,64,256,85
2026-03-12,shinkan,,2074,599,1,1,-593,67,300,599,599
2026-03-12,shinkan,マジカルハロウィン　～Trick or Treat!～,2075,243,1,0,-304,58.3,243,243,
2026-03-12,shinkan,,2076,2348,8,5,0,100,181,294,470
2026-03-12,shinkan,,2077,992,1,2,-792,73.4,331,992,496
2026-03-12,shinkan,L不二子BT,2078,2604,19,8,196,102.5,96,137,326
2026-03-12,shinkan,,2079,2132,5,4,-505,92.1,237,426,533
2026-03-12,shinkan,,2080,1617,3,0,-999,79.4,539,539,
2026-03-12,shinkan,,2081,1442,5,4,309,107.1,160,288,361
2026-03-12,shinkan,,2082,1303,0,3,-591,84.9,434,,434
2026-03-12,shinkan,,2083,980,0,2,-1299,55.8,490,,490
2026-03-12,shinkan,,2084,2767,9,4,0,100,213,307,692
2026-03-12,shinkan,,2085,3289,0,9,1696,117.2,365,,365
2026-03-12,shinkan,,2086,0,0,0,0,,,,
2026-03-12,shinkan,,2087,1084,0,1,4002,223.1,1084,,1084
2026-03-12,shinkan,,2088,2410,0,4,-1196,83.5,603,,603
2026-03-12,shinkan,,2089,227,0,0,-399,41.4,,,
2026-03-12,shinkan,,2090,614,0,0,-591,67.9,,,
2026-03-12,shinkan,,2091,326,0,0,-300,69.3,,,
2026-03-12,shinkan,,2094,1208,3,2,-398,89,242,403,604
2026-03-12,shinkan,,2095,246,1,0,0,100,246,246,
2026-03-12,shinkan,,2096,2465,8,11,204,102.8,130,308,224
2026-03-12,shinkan,,2097,346,1,0,-103,90.1,346,346,
2026-03-12,shinkan,,2098,2567,13,10,1203,115.6,112,197,257
2026-03-12,shinkan,,2099,1366,9,1,601,114.7,137,152,1366
2026-03-12,shinkan,,2100,1463,3,5,-499,88.6,183,488,293
2026-03-12,shinkan,,2101,1609,6,5,205,104.2,146,268,322
2026-03-12,shinkan,,2102,132,0,0,-100,74.7,,,
2026-03-12,shinkan,,2103,4728,28,10,2502,117.6,124,169,473
2026-03-12,shinkan,,2104,428,0,0,-496,61.4,,,
2026-03-12,shinkan,,2105,1198,3,2,-304,91.5,240,399,599
2026-03-12,shinkan,,2106,3709,16,10,408,103.7,143,232,371
2026-03-12,shinkan,,2107,1352,4,6,0,100,135,338,225
2026-03-12,shinkan,,2108,785,3,2,0,100,157,262,393
2026-03-12,shinkan,,2109,1922,5,8,-397,93.1,148,384,240
2026-03-12,shinkan,,2110,214,1,0,0,100,214,214,
2026-03-12,shinkan,,2111,5316,26,22,2003,112.6,111,204,242
2026-03-12,shinkan,,2112,846,4,1,202,108,169,212,846
2026-03-12,shinkan,,2113,643,2,0,-297,84.6,322,322,
2026-03-12,shinkan,,2114,371,1,0,-193,82.7,371,371,
2026-03-12,shinkan,,2115,3058,15,13,1205,113.1,109,204,235
2026-03-12,shinkan,,2116,1789,5,6,-296,94.5,163,358,298
2026-03-12,shinkan,,2117,916,2,2,-302,89,229,458,458
