date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-08-27,stardust,スマスロ化物語,2093,1526,1/2,2,145.7
2026-08-27,stardust,Lパチスロ炎炎ノ消防隊2,1576,1951,1/3,3,126.9
2026-08-27,stardust,スマスロ北斗の拳 転生の章2,704,2503,3/12,12,109.4
2026-08-27,stardust,スロット ソードアート・オンラインⅡ,571,4962,1/5,5,103.8
2026-08-27,stardust,L東京喰種,493,1962,4/8,8,108.4
2026-08-27,stardust,ジャグラーガールズSS,430,3094,3/4,4,104.6
2026-08-27,stardust,ネオアイムジャグラーEX,297,3174,4/5,5,103.1
2026-08-27,stardust,Lスマスロ北斗の拳,276,1968,2/6,6,104.7
2026-08-27,stardust,スマスロケロット5BT,271,2577,2/2,2,103.5
2026-08-27,stardust,スマスロ ハナビ,228,1401,1/4,4,105.4
2026-08-27,stardust,いざ！番長,189,2332,1/3,3,102.7
2026-08-27,stardust,戦国コレクション6,155,3236,1/2,2,101.6
2026-08-27,stardust,ゴーゴージャグラー３,99,3746,3/6,6,100.9
2026-08-27,stardust,ファンキージャグラー２ＫＴ,93,3306,5/8,8,100.9
2026-08-27,stardust,ハッピージャグラーＶＩＩＩ,83,2234,2/3,3,101.2
2026-08-27,stardust,スマスロ とある魔術の禁書目録2,62,3051,2/5,5,100.7
2026-08-27,stardust,Lパチスロからくりサーカス2,40,3270,2/6,6,100.4
2026-08-27,stardust,スマスロモンキーターンV,-109,1849,3/5,5,98
2026-08-27,stardust,スマスロ サンダーV,-151,369,1/2,2,86.4
2026-08-27,stardust,ミスタージャグラー,-177,1571,3/4,4,96.2
2026-08-27,stardust,ウルトラミラクルジャグラー,-208,2354,2/4,4,97.1
2026-08-27,stardust,スマスロ ストリートファイター6,-345,1366,1/4,4,91.6
2026-08-27,stardust,マイジャグラーV,-393,3760,5/16,16,96.5
2026-08-27,stardust,スマスロ 甲鉄城のカバネリ 海門決戦,-551,1635,2/6,6,88.8
2026-08-27,stardust,L戦国乙女5 業火を穿つ宿焔の双刃,-608,1350,0/6,6,85
2026-08-27,stardust,スマスロ スーパーリオエース2,-723,1190,0/3,3,79.8
2026-08-27,stardust,スマスロ バイオハザードRE:3,-781,1322,0/3,3,80.3
2026-08-27,stardust,真打 吉宗,-865,3216,1/5,5,91
2026-08-27,stardust,スマスロ やじきた道中記参る！,-874,1884,1/3,3,84.5
2026-08-27,stardust,スロット ワールドダイスター,-1161,3506,0/2,2,89
2026-08-27,stardust,スマスロ ミリオンゴッド-神々の軌跡-,-1691,3155,1/7,7,82.1
2026-08-27,stardust,スマスロBIRDIE WING-Golf Girls’ Story-,0,0,0/2,2,
