date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-04-25,shinkan,Lパチスロ かぐや様は告らせたい,4555,3456,2/2,2,143.9
2026-04-25,shinkan,Lスマスロ北斗の拳,2693,3434,8/10,10,126.1
2026-04-25,shinkan,スマスロ鉄拳6,2104,2495,1/3,3,128.1
2026-04-25,shinkan,スマスロ サンダーV,1702,2979,1/2,2,119
2026-04-25,shinkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,1611,2796,1/4,4,119.2
2026-04-25,shinkan,スマスロ化物語,1485,4476,3/6,6,111.1
2026-04-25,shinkan,マイジャグラーV,1011,7613,29/43,43,104.4
2026-04-25,shinkan,アレックス ブライト,880,2942,2/4,4,110
2026-04-25,shinkan,Lパチスロ炎炎ノ消防隊2,765,5264,3/8,8,104.8
2026-04-25,shinkan,スマスロ北斗の拳 転生の章2,368,3637,5/17,17,103.4
2026-04-25,shinkan,スマスロ モンスターハンターライズ,309,3083,2/3,3,103.3
2026-04-25,shinkan,スマスロ スーパーブラックジャック,307,1555,2/3,3,106.6
2026-04-25,shinkan,真打 吉宗,229,5662,3/6,6,101.3
2026-04-25,shinkan,スマスロ ゴッドイーター リザレクション,204,2353,1/4,4,102.9
2026-04-25,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,132,2559,3/4,4,101.7
2026-04-25,shinkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,120,3518,4/8,8,101.1
2026-04-25,shinkan,パチスロ　甲鉄城のカバネリ,95,2862,1/2,2,101.1
2026-04-25,shinkan,バーサスリヴァイズ,71,1747,2/3,3,101.4
2026-04-25,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,66,1831,2/5,5,101.2
2026-04-25,shinkan,Lアズールレーン THE ANIMATION,61,6165,1/2,2,100.3
2026-04-25,shinkan,スマスロ 東京リベンジャーズ,54,2072,2/6,6,100.9
2026-04-25,shinkan,クランキークレスト,8,3409,1/2,2,100.1
2026-04-25,shinkan,マジカルハロウィン　～Trick or Treat!～,5,2071,1/2,2,100.1
2026-04-25,shinkan,沖ドキ！ＧＯＬＤ-30,-3,3030,6/9,9,100
2026-04-25,shinkan,Lソードアート・オンライン,-17,961,3/4,4,99.4
2026-04-25,shinkan,スマスロモンキーターンV,-66,3147,5/11,11,99.3
2026-04-25,shinkan,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,-96,2540,1/2,2,98.7
2026-04-25,shinkan,スマスロ新鬼武者3,-195,1808,3/4,4,96.4
2026-04-25,shinkan,スマスロ 攻殻機動隊,-196,4923,2/4,4,98.7
2026-04-25,shinkan,スマスロとある科学の超電磁砲2,-198,2091,0/2,2,96.9
2026-04-25,shinkan,ネオアイムジャグラーEX,-201,5603,13/33,33,98.8
2026-04-25,shinkan,A-SLOT+ ディスクアップ ULTRAREMIX,-221,4185,2/4,4,98.2
2026-04-25,shinkan,新ハナビ,-242,3554,1/2,2,97.7
2026-04-25,shinkan,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,-245,2335,1/2,2,96.5
2026-04-25,shinkan,いざ！番長,-330,1920,1/3,3,94.3
2026-04-25,shinkan,A-SLOT+異世界かるてっとBT,-338,5426,0/2,2,97.9
2026-04-25,shinkan,ハッピージャグラーＶＩＩＩ,-367,4134,2/7,7,97
2026-04-25,shinkan,パチスロ　ディスクアップ２,-372,3358,2/5,5,96.3
2026-04-25,shinkan,スマスロ 甲鉄城のカバネリ 海門決戦,-379,5927,4/14,14,97.9
2026-04-25,shinkan,この素晴らしい世界に祝福を！,-396,1500,1/3,3,91.2
2026-04-25,shinkan,ウルトラミラクルジャグラー,-399,5419,0/3,3,97.5
2026-04-25,shinkan,スマート沖スロ ニューキングハナハナV,-423,1652,0/4,4,91.5
2026-04-25,shinkan,スマスロ ハナビ,-495,1893,1/5,5,91.3
2026-04-25,shinkan,Lパチスロうみねこのなく頃に2,-498,5387,0/2,2,96.9
2026-04-25,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,-541,2666,2/5,5,93.2
2026-04-25,shinkan,L少女☆歌劇 レヴュースタァライト -The SLOT-,-543,808,0/2,2,77.6
2026-04-25,shinkan,スマスロ 沖ドキ!DUO アンコール,-632,2967,4/8,8,92.9
2026-04-25,shinkan,スマスロ秘宝伝,-649,1307,0/2,2,83.5
2026-04-25,shinkan,スマスロヨルムンガンド,-742,5550,1/2,2,95.5
2026-04-25,shinkan,ゴーゴージャグラー３,-764,5853,2/10,10,95.6
2026-04-25,shinkan,ミスタージャグラー,-765,5144,1/3,3,95
2026-04-25,shinkan,ジャグラーガールズSS,-919,5074,0/5,5,94
2026-04-25,shinkan,L無職転生～異世界行ったら本気だす～,-1051,2602,0/2,2,86.5
2026-04-25,shinkan,L主役は銭形5,-1070,2189,0/3,3,83.7
2026-04-25,shinkan,ファンキージャグラー２ＫＴ,-1115,4373,0/5,5,91.5
2026-04-25,shinkan,L東京喰種,-1344,4520,4/19,19,90.1
2026-04-25,shinkan,沖ドキ!ゴージャス 30Φ,-1402,4215,1/3,3,88.9
2026-04-25,shinkan,プリズムナナ,-1404,3690,0/2,2,87.3
2026-04-25,shinkan,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,-1463,5667,0/6,6,91.4
2026-04-25,shinkan,スマスロ シャーマンキング,-1892,1813,0/2,2,65.2
2026-04-25,shinkan,スマスロ ミリオンゴッド-神々の軌跡-,-3459,8877,1/10,10,87
