date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-04-27,island_akiba,スマスロ 攻殻機動隊,3934,7204,4/5,5,118.2
2026-04-27,island_akiba,回胴式遊技機グランベルム,2616,4449,2/2,2,119.6
2026-04-27,island_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1755,3656,3/5,5,116
2026-04-27,island_akiba,アニマルスロット ドッチ,1256,4408,1/2,2,109.5
2026-04-27,island_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,1227,6554,21/43,43,106.2
2026-04-27,island_akiba,スマスロ シャーマンキング,977,3108,1/2,2,110.5
2026-04-27,island_akiba,L東京喰種,975,7327,15/23,23,104.4
2026-04-27,island_akiba,スマスロ化物語,924,6704,10/17,17,104.6
2026-04-27,island_akiba,スマスロとある科学の超電磁砲2,845,4845,5/15,15,105.8
2026-04-27,island_akiba,Lパチスロ革命機ヴァルヴレイヴ2,790,5436,8/17,17,104.8
2026-04-27,island_akiba,Lパチスロ炎炎ノ消防隊2,666,4480,7/14,14,105
2026-04-27,island_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,646,8193,8/14,14,102.6
2026-04-27,island_akiba,ネオアイムジャグラーEX,530,5125,3/5,5,103.4
2026-04-27,island_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,458,3771,11/26,26,104.1
2026-04-27,island_akiba,Lパチスロ かぐや様は告らせたい,417,1988,5/12,12,107
2026-04-27,island_akiba,スマスロ ゴッドイーター リザレクション,314,4439,2/4,4,102.4
2026-04-27,island_akiba,スマスロ ミリオンゴッド-神々の軌跡-,232,9209,4/10,10,100.8
2026-04-27,island_akiba,スロット ゾンビランドサガ,201,3506,2/6,6,101.9
2026-04-27,island_akiba,マイジャグラーV,197,5403,2/5,5,101.2
2026-04-27,island_akiba,スマスロ スーパーブラックジャック,-104,4607,4/14,14,99.2
2026-04-27,island_akiba,L無職転生～異世界行ったら本気だす～,-145,3235,3/8,8,98.5
2026-04-27,island_akiba,Lソードアート・オンライン,-362,4332,4/16,16,97.2
2026-04-27,island_akiba,真打 吉宗,-377,5084,4/10,10,97.5
2026-04-27,island_akiba,Lバンドリ！,-464,6313,3/10,10,97.5
2026-04-27,island_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,-498,3782,3/8,8,95.6
2026-04-27,island_akiba,Lアズールレーン THE ANIMATION,-512,4364,1/8,8,96.1
2026-04-27,island_akiba,スマスロモンキーターンV,-537,2064,1/7,7,91.3
2026-04-27,island_akiba,Lパチスロうみねこのなく頃に2,-600,4894,1/4,4,95.9
2026-04-27,island_akiba,スマスロヨルムンガンド,-627,2651,2/8,8,92.1
2026-04-27,island_akiba,Lパチスロガールズ＆パンツァー 最終章,-681,2767,2/9,9,91.8
2026-04-27,island_akiba,スマスロ北斗の拳 転生の章2,-712,1934,1/5,5,87.7
2026-04-27,island_akiba,L ToLOVEるダークネス,-720,4590,10/42,42,94.8
2026-04-27,island_akiba,スマスロ 七つの魔剣が支配する,-1012,1567,0/2,2,78.5
2026-04-27,island_akiba,Lパチスロ戦姫絶唱シンフォギア 正義の歌,-1419,5279,0/2,2,91
2026-04-27,island_akiba,L虚構推理,-1619,7895,2/5,5,93.2
2026-04-27,island_akiba,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,-1885,7168,0/2,2,91.2
