date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2001,2053,8,1,-498,91.9,228,257,2053
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2002,4315,14,13,-698,94.6,160,308,332
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2003,2273,8,6,-190,97.2,162,284,379
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2004,2163,15,1,1315,120.3,135,144,2163
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2005,1912,8,2,0,100,191,239,956
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2006,622,0,2,-396,78.8,311,,311
2026-07-01,shinkan,ハッピージャグラーＶＩＩＩ,2007,4547,15,11,-793,94.2,175,303,413
2026-07-01,shinkan,ネオアイムジャグラーEX,2008,4476,14,13,-592,95.6,166,320,344
2026-07-01,shinkan,ネオアイムジャグラーEX,2009,1136,2,1,-893,73.8,379,568,1136
2026-07-01,shinkan,ネオアイムジャグラーEX,2010,1225,3,1,-498,86.4,306,408,1225
2026-07-01,shinkan,ネオアイムジャグラーEX,2011,1508,5,2,-502,88.9,215,302,754
2026-07-01,shinkan,ネオアイムジャグラーEX,2012,787,2,1,-304,87.1,262,394,787
2026-07-01,shinkan,ネオアイムジャグラーEX,2013,3057,10,9,-594,93.5,161,306,340
2026-07-01,shinkan,マイジャグラーV,2014,6167,21,22,0,100,143,294,280
2026-07-01,shinkan,マイジャグラーV,2015,7273,22,31,-101,99.5,137,331,235
2026-07-01,shinkan,マイジャグラーV,2016,1872,5,3,-793,85.9,234,374,624
2026-07-01,shinkan,マイジャグラーV,2017,3250,8,8,-794,91.9,203,406,406
2026-07-01,shinkan,マイジャグラーV,2018,2697,7,5,-703,91.3,225,385,539
2026-07-01,shinkan,マイジャグラーV,2019,5407,23,12,401,102.5,154,235,451
2026-07-01,shinkan,マイジャグラーV,2020,4314,18,10,-104,99.2,154,240,431
2026-07-01,shinkan,マイジャグラーV,2021,7450,32,24,1615,107.2,133,233,310
2026-07-01,shinkan,マイジャグラーV,2022,3422,16,5,311,103,163,214,684
2026-07-01,shinkan,マイジャグラーV,2023,3732,14,11,-104,99.1,149,267,339
2026-07-01,shinkan,マイジャグラーV,2024,8496,36,34,1998,107.8,121,236,250
2026-07-01,shinkan,マイジャグラーV,2025,898,1,2,-704,73.9,299,898,449
2026-07-01,shinkan,マイジャグラーV,2026,3089,7,7,-1190,87.2,221,441,441
2026-07-01,shinkan,マイジャグラーV,2027,1853,6,2,-395,92.9,232,309,927
2026-07-01,shinkan,マイジャグラーV,2028,4837,20,11,415,102.9,156,242,440
2026-07-01,shinkan,マイジャグラーV,2029,5232,19,17,306,101.9,145,275,308
2026-07-01,shinkan,マイジャグラーV,2030,4846,20,11,503,103.5,156,242,441
2026-07-01,shinkan,マイジャグラーV,2031,5876,20,15,-1090,93.8,168,294,392
2026-07-01,shinkan,ゴーゴージャグラー３,2032,5518,22,11,-196,98.8,167,251,502
2026-07-01,shinkan,ゴーゴージャグラー３,2033,3790,13,10,-698,93.9,165,292,379
2026-07-01,shinkan,ゴーゴージャグラー３,2034,504,2,1,0,100,168,252,504
2026-07-01,shinkan,ゴーゴージャグラー３,2035,3790,18,9,608,105.3,140,211,421
2026-07-01,shinkan,ファンキージャグラー２ＫＴ,2036,709,0,2,-698,67.2,355,,355
2026-07-01,shinkan,ファンキージャグラー２ＫＴ,2037,605,1,2,-301,83.4,202,605,303
2026-07-01,shinkan,ファンキージャグラー２ＫＴ,2038,3503,14,9,-199,98.1,152,250,389
2026-07-01,shinkan,ファンキージャグラー２ＫＴ,2039,835,3,2,-196,92.2,167,278,418
