date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-06-26,espace_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,2871,6723,9/10,10,114.2
2026-06-26,espace_akiba,スマスロ北斗の拳 転生の章2,2556,4683,3/6,6,118.2
2026-06-26,espace_akiba,真打 吉宗,2536,4692,6/10,10,118
2026-06-26,espace_akiba,ウルトラミラクルジャグラー,2152,5865,2/2,2,112.2
2026-06-26,espace_akiba,スマスロ コードギアス 反逆のルルーシュ 復活のルルーシュ,2132,7900,1/3,3,109
2026-06-26,espace_akiba,スマスロ バイオハザードRE:3,2075,4026,1/3,3,117.2
2026-06-26,espace_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,1685,5990,15/23,23,109.4
2026-06-26,espace_akiba,パチスロ　マクロスデルタ,1646,5492,1/2,2,110
2026-06-26,espace_akiba,Lアクダマドライブ,1606,3031,1/2,2,117.7
2026-06-26,espace_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,1423,6394,5/6,6,107.4
2026-06-26,espace_akiba,スロット ソードアート・オンラインⅡ,1335,8934,10/17,17,105
2026-06-26,espace_akiba,Lパチスロ炎炎ノ消防隊2,1254,5732,4/11,11,107.3
2026-06-26,espace_akiba,スマスロBIRDIE WING-Golf Girls’ Story-,1075,4407,1/3,3,108.1
2026-06-26,espace_akiba,Sister Quest,806,3255,2/3,3,108.3
2026-06-26,espace_akiba,スマスロ シャーマンキング,805,5083,2/3,3,105.3
2026-06-26,espace_akiba,A-SLOT+ ディスクアップ ULTRAREMIX,795,5274,1/2,2,105
2026-06-26,espace_akiba,ネオアイムジャグラーEX,791,6385,4/5,5,104.1
2026-06-26,espace_akiba,Lスマスロとある魔術の禁書目録,783,6244,2/4,4,104.2
2026-06-26,espace_akiba,スマスロモンキーターンV,658,2153,7/11,11,110.2
2026-06-26,espace_akiba,パチスロ　戦姫絶唱シンフォギア　勇気の歌,648,3976,1/2,2,105.4
2026-06-26,espace_akiba,スマスロ ゴッドイーター リザレクション,553,2428,2/4,4,107.6
2026-06-26,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,547,4655,3/5,5,103.9
2026-06-26,espace_akiba,L虚構推理,545,6930,3/5,5,102.6
2026-06-26,espace_akiba,スロット ゾンビランドサガ,500,4270,2/4,4,103.9
2026-06-26,espace_akiba,Lバンドリ！,489,2133,5/10,10,107.6
2026-06-26,espace_akiba,スマスロ 攻殻機動隊,472,4559,3/7,7,103.4
2026-06-26,espace_akiba,A-SLOT+異世界かるてっとBT,460,4921,3/4,4,103.1
2026-06-26,espace_akiba,L東京喰種,450,6762,15/28,28,102.2
2026-06-26,espace_akiba,スマスロ化物語,404,5807,12/28,28,102.3
2026-06-26,espace_akiba,Lパチスロ革命機ヴァルヴレイヴ2,396,2983,4/10,10,104.4
2026-06-26,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,187,4275,21/50,50,101.5
2026-06-26,espace_akiba,マイジャグラーV,187,5205,14/27,27,101.2
2026-06-26,espace_akiba,Lアズールレーン THE ANIMATION,164,4748,5/10,10,101.2
2026-06-26,espace_akiba,ジャグラーガールズSS,108,4797,2/4,4,100.7
2026-06-26,espace_akiba,L ToLOVEるダークネス TRANCE ver.8.7,102,5878,14/30,30,100.6
2026-06-26,espace_akiba,スマスロ ビッグドリーム THE GOLDEN PUSHER,68,4223,1/3,3,100.5
2026-06-26,espace_akiba,ファンキージャグラー２ＫＴ,-82,5656,4/9,9,99.5
2026-06-26,espace_akiba,L戦国乙女5 業火を穿つ宿焔の双刃,-133,7892,13/30,30,99.4
2026-06-26,espace_akiba,スマスロ ハナビ,-141,5191,2/4,4,99.1
2026-06-26,espace_akiba,ゴーゴージャグラー３,-160,4372,3/6,6,98.8
2026-06-26,espace_akiba,Lストライクウィッチーズ2,-397,6748,0/2,2,98
2026-06-26,espace_akiba,スマスロ サンダーV,-398,6630,1/2,2,98
2026-06-26,espace_akiba,Lパチスロうみねこのなく頃に2,-427,5749,3/7,7,97.5
2026-06-26,espace_akiba,Lパチスロガールズ＆パンツァー 最終章,-462,2468,2/6,6,93.8
2026-06-26,espace_akiba,パチスロ戦国恋姫,-515,3661,2/4,4,95.3
2026-06-26,espace_akiba,プリズムナナ,-595,4173,1/3,3,95.3
2026-06-26,espace_akiba,回胴式遊技機グランベルム,-598,6916,3/7,7,97.1
2026-06-26,espace_akiba,Lパチスロ マクロスフロンティア4,-725,3665,1/3,3,93.4
2026-06-26,espace_akiba,スマスロ スーパーリオエース2,-744,4793,2/8,8,94.8
2026-06-26,espace_akiba,Lソードアート・オンライン,-750,6137,4/9,9,95.9
2026-06-26,espace_akiba,この素晴らしい世界に祝福を！,-817,4854,1/5,5,94.4
2026-06-26,espace_akiba,ハッピージャグラーＶＩＩＩ,-840,3590,0/2,2,92.2
2026-06-26,espace_akiba,Lパチスロからくりサーカス,-965,3318,2/3,3,90.3
2026-06-26,espace_akiba,スマスロ ミリオンゴッド-神々の軌跡-,-1471,6075,5/17,17,91.9
2026-06-26,espace_akiba,スマスロとある科学の超電磁砲2,-1563,6209,0/3,3,91.6
2026-06-26,espace_akiba,L無職転生～異世界行ったら本気だす～,-1619,2981,0/6,6,81.9
2026-06-26,espace_akiba,スマスロ ギルティクラウン2,-2101,3043,0/2,2,77
2026-06-26,espace_akiba,スロット Re:ゼロから始める異世界生活 season2,-2296,7475,0/2,2,89.8
2026-06-26,espace_akiba,Lタクトオーパス デスティニー,-2794,4345,0/2,2,78.6
