date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-08-25,shinkan,Lタクトオーパス デスティニー,4770,3210,1/2,2,149.5
2026-08-25,shinkan,スマスロ バイオハザードRE:3,2058,1786,1/2,2,138.4
2026-08-25,shinkan,スロット ソードアート・オンラインⅡ,1357,4424,6/12,12,110.2
2026-08-25,shinkan,新ハナビ,1107,2603,2/2,2,114.2
2026-08-25,shinkan,Lパチスロ炎炎ノ消防隊2,1040,2478,2/3,3,114
2026-08-25,shinkan,Lパチスロうみねこのなく頃に2,908,1899,2/2,2,115.9
2026-08-25,shinkan,スマスロ ゴッドイーター リザレクション,873,735,1/4,4,139.6
2026-08-25,shinkan,沖ドキ!ゴージャス 30Φ,775,3380,2/3,3,107.6
2026-08-25,shinkan,パチスロ　ディスクアップ２,755,2537,2/4,4,109.9
2026-08-25,shinkan,沖ドキ！ＧＯＬＤ-30,683,3268,7/9,9,107
2026-08-25,shinkan,スマスロ新鬼武者3,640,1249,2/3,3,117.1
2026-08-25,shinkan,マイジャグラーV,571,7133,28/43,43,102.7
2026-08-25,shinkan,戦国コレクション6,569,1478,3/3,3,112.8
2026-08-25,shinkan,アレックス ブライト,506,3020,1/2,2,105.6
2026-08-25,shinkan,L東京喰種,491,1348,4/13,13,112.1
2026-08-25,shinkan,パチスロ　甲鉄城のカバネリ,406,590,2/2,2,122.9
2026-08-25,shinkan,スマスロ化物語,340,971,2/6,6,111.7
2026-08-25,shinkan,スマスロ ハナビ,306,4928,2/3,3,102.1
2026-08-25,shinkan,ゴーゴージャグラー３,266,3973,4/10,10,102.2
2026-08-25,shinkan,ファンキージャグラー２ＫＴ,266,4178,2/5,5,102.1
2026-08-25,shinkan,スマスロ サンダーV,252,1367,1/2,2,106.1
2026-08-25,shinkan,スマスロ 東京リベンジャーズ,133,1134,1/4,4,103.9
2026-08-25,shinkan,スマスロ 沖ドキ!DUO アンコール,110,2529,2/4,4,101.4
2026-08-25,shinkan,L南国育ち SPECIAL,106,1067,1/2,2,103.3
2026-08-25,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,102,412,1/3,3,108.3
2026-08-25,shinkan,Lパチスロからくりサーカス2,64,422,3/10,10,105.1
2026-08-25,shinkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,60,1397,3/7,7,101.4
2026-08-25,shinkan,この素晴らしい世界に祝福を！,36,1699,1/3,3,100.7
2026-08-25,shinkan,スマスロ 甲鉄城のカバネリ 海門決戦,6,1469,8/17,17,100.1
2026-08-25,shinkan,L ＨＥＹ！エリートサラリーマン鏡,3,1543,1/3,3,100.1
2026-08-25,shinkan,スマスロモンキーターンV,-23,1325,3/11,11,99.4
2026-08-25,shinkan,マジカルハロウィン　～Trick or Treat!～,-27,899,2/3,3,99
2026-08-25,shinkan,ネオアイムジャグラーEX,-102,4732,12/33,33,99.3
2026-08-25,shinkan,スマスロ やじきた道中記参る！,-113,1354,1/5,5,97.2
2026-08-25,shinkan,Lスマスロ北斗の拳,-131,2154,1/6,6,98
2026-08-25,shinkan,ジャグラーガールズSS,-192,2408,2/5,5,97.3
2026-08-25,shinkan,スマスロ モンスターハンターライズ,-193,603,1/4,4,89.3
2026-08-25,shinkan,スマスロ スーパーブラックジャック,-196,719,1/2,2,90.9
2026-08-25,shinkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,-249,409,0/2,2,79.7
2026-08-25,shinkan,スマスロ 攻殻機動隊,-294,1680,1/4,4,94.2
2026-08-25,shinkan,スマスロ シャーマンキング,-296,1582,0/2,2,93.8
2026-08-25,shinkan,A-SLOT+異世界かるてっとBT,-299,966,0/2,2,89.7
2026-08-25,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-346,724,1/4,4,84.1
2026-08-25,shinkan,スマスロ北斗の拳 転生の章2,-365,2430,3/7,7,95
2026-08-25,shinkan,L戦国乙女5 業火を穿つ宿焔の双刃,-403,3478,2/9,9,96.1
2026-08-25,shinkan,スマスロ とある魔術の禁書目録2,-410,3097,2/5,5,95.6
2026-08-25,shinkan,Lアズールレーン THE ANIMATION,-445,318,0/2,2,53.3
2026-08-25,shinkan,Lパチスロ戦姫絶唱シンフォギア 正義の歌,-457,634,0/3,3,75.9
2026-08-25,shinkan,スマスロ ストリートファイター6,-457,911,1/5,5,83.3
2026-08-25,shinkan,ウルトラミラクルジャグラー,-493,3095,1/3,3,94.7
2026-08-25,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,-495,1315,0/4,4,87.5
2026-08-25,shinkan,Lパチスロ喰霊-零-Re,-496,4759,1/3,3,96.5
2026-08-25,shinkan,Lソードアート・オンライン,-522,723,1/4,4,75.9
2026-08-25,shinkan,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,-548,503,0/2,2,63.7
2026-08-25,shinkan,ミスタージャグラー,-595,2195,0/3,3,91
2026-08-25,shinkan,ハッピージャグラーＶＩＩＩ,-623,3603,1/7,7,94.2
2026-08-25,shinkan,バーサスリヴァイズ,-661,3306,0/3,3,93.3
2026-08-25,shinkan,A-SLOT+ ディスクアップ ULTRAREMIX,-847,3987,0/2,2,92.9
2026-08-25,shinkan,真打 吉宗,-1062,2734,1/6,6,87
2026-08-25,shinkan,スマスロ ミリオンゴッド-神々の軌跡-,-1246,3259,1/10,10,87.3
2026-08-25,shinkan,スロット ワールドダイスター,-1998,3142,0/3,3,78.8
2026-08-25,shinkan,スマスロ スーパーリオエース2,0,0,0/3,3,
