date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-03-05,shinkan,Lアズールレーン THE ANIMATION,2833,3289,3/4,4,128.7
2026-03-05,shinkan,Lパチスロ かぐや様は告らせたい,2228,1237,1/4,4,160.1
2026-03-05,shinkan,スマスロ鉄拳6,2174,2114,5/6,6,134.3
2026-03-05,shinkan,A-SLOT+ ディスクアップ ULTRAREMIX,2051,3039,3/4,4,122.5
2026-03-05,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,1934,2387,2/4,4,127
2026-03-05,shinkan,スマスロ 沖ドキ!DUO アンコール,1934,3310,1/4,4,119.5
2026-03-05,shinkan,ミスタージャグラー,1638,7102,2/3,3,107.7
2026-03-05,shinkan,ウルトラミラクルジャグラー,1311,6618,2/3,3,106.6
2026-03-05,shinkan,スマスロ化物語,1106,4139,3/6,6,108.9
2026-03-05,shinkan,スマスロとある科学の超電磁砲2,838,1103,1/3,3,125.3
2026-03-05,shinkan,Lパチスロ炎炎ノ消防隊2,754,3437,3/8,8,107.3
2026-03-05,shinkan,スマスロ 甲鉄城のカバネリ 海門決戦,658,6525,8/14,14,103.4
2026-03-05,shinkan,ゴーゴージャグラー３,515,6094,7/10,10,102.8
2026-03-05,shinkan,バーサスリヴァイズ,436,4686,2/3,3,103.1
2026-03-05,shinkan,スマスロ北斗の拳 転生の章2,415,3828,8/18,18,103.6
2026-03-05,shinkan,Lパチスロからくりサーカス,407,386,1/2,2,135.1
2026-03-05,shinkan,L無職転生～異世界行ったら本気だす～,405,1009,2/3,3,113.4
2026-03-05,shinkan,ハッピージャグラーＶＩＩＩ,392,3844,2/7,7,103.4
2026-03-05,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,381,3142,3/5,5,104
2026-03-05,shinkan,パチスロ　ディスクアップ２,365,3158,3/5,5,103.9
2026-03-05,shinkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,302,338,1/5,5,129.8
2026-03-05,shinkan,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,263,1420,2/2,2,106.2
2026-03-05,shinkan,ファンキージャグラー２ＫＴ,245,3620,2/5,5,102.3
2026-03-05,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,234,1335,3/10,10,105.8
2026-03-05,shinkan,スマスロ サンダーV,212,5072,2/2,2,101.4
2026-03-05,shinkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,143,1013,3/8,8,104.7
2026-03-05,shinkan,スマスロ ゴッドイーター リザレクション,50,1021,1/4,4,101.6
2026-03-05,shinkan,スマスロ 東京リベンジャーズ,-13,822,1/7,7,99.5
2026-03-05,shinkan,スマスロ ハナビ,-74,4139,2/5,5,99.4
2026-03-05,shinkan,ジャグラーガールズSS,-114,5459,3/5,5,99.3
2026-03-05,shinkan,スマート沖スロ ニューキングハナハナV,-143,465,2/4,4,89.8
2026-03-05,shinkan,スマスロモンキーターンV,-173,1579,2/13,13,96.4
2026-03-05,shinkan,ネオアイムジャグラーEX,-183,3199,9/33,33,98.1
2026-03-05,shinkan,Lソードアート・オンライン,-223,630,0/4,4,88.2
2026-03-05,shinkan,スマスロ新鬼武者3,-248,2316,1/4,4,96.4
2026-03-05,shinkan,Lパチスロうみねこのなく頃に2,-249,4360,1/2,2,98.1
2026-03-05,shinkan,L少女☆歌劇 レヴュースタァライト -The SLOT-,-293,774,1/2,2,87.4
2026-03-05,shinkan,スマスロ ゴブリンスレイヤーⅡ,-296,1611,1/5,5,93.9
2026-03-05,shinkan,Lスマスロ北斗の拳,-300,1354,5/16,16,92.6
2026-03-05,shinkan,マイジャグラーV,-314,5299,14/43,43,98
2026-03-05,shinkan,L主役は銭形5,-360,1138,1/3,3,89.5
2026-03-05,shinkan,アレックス ブライト,-371,1804,1/4,4,93.1
2026-03-05,shinkan,クランキークレスト,-399,4403,0/2,2,97
2026-03-05,shinkan,沖ドキ!ゴージャス 30Φ,-436,3065,1/3,3,95.3
2026-03-05,shinkan,L範馬刃牙,-497,1350,1/2,2,87.7
2026-03-05,shinkan,スマスロ モンスターハンターライズ,-592,1423,1/3,3,86.1
2026-03-05,shinkan,スマスロ秘宝伝,-595,976,0/4,4,79.7
2026-03-05,shinkan,プリズムナナ,-596,1903,1/2,2,89.6
2026-03-05,shinkan,いざ！番長,-632,1953,1/3,3,89.2
2026-03-05,shinkan,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,-692,771,0/2,2,70.1
2026-03-05,shinkan,この素晴らしい世界に祝福を！,-696,2332,0/2,2,90.1
2026-03-05,shinkan,スマスロ スーパーブラックジャック,-799,926,0/4,4,71.2
2026-03-05,shinkan,スマスロ シャーマンキング,-845,703,0/2,2,60
2026-03-05,shinkan,沖ドキ！ＧＯＬＤ-30,-940,3126,3/9,9,90
2026-03-05,shinkan,スマスロ 攻殻機動隊,-1045,2840,1/4,4,87.7
2026-03-05,shinkan,パチスロ　甲鉄城のカバネリ,-1251,1945,0/2,2,78.6
2026-03-05,shinkan,L東京喰種,-1463,2673,1/12,12,81.8
2026-03-05,shinkan,回胴式遊技機グランベルム,0,0,0/2,2,
