date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-09-15,island_akiba,Lアズールレーン THE ANIMATION,3286,3899,3/6,6,128.1
2026-09-15,island_akiba,スロット ワールドダイスター,2418,8281,3/4,4,109.7
2026-09-15,island_akiba,Lバンドリ！,1445,6749,4/7,7,107.1
2026-09-15,island_akiba,Lパチスロうみねこのなく頃に2,1442,5126,2/2,2,109.4
2026-09-15,island_akiba,スマスロ化物語,1264,7331,7/14,14,105.7
2026-09-15,island_akiba,L無職転生～異世界行ったら本気だす～,1127,4856,3/6,6,107.7
2026-09-15,island_akiba,L戦国乙女5 業火を穿つ宿焔の双刃,1027,8527,15/29,29,104
2026-09-15,island_akiba,マイジャグラーV,814,6106,8/10,10,104.4
2026-09-15,island_akiba,スマスロ シャーマンキング,756,2847,1/2,2,108.8
2026-09-15,island_akiba,真打 吉宗,622,3289,2/2,2,106.3
2026-09-15,island_akiba,L青春ブタ野郎はバニーガール先輩の夢を見ない,569,9425,7/17,17,102
2026-09-15,island_akiba,L ToLOVEるダークネス,512,6394,17/42,42,102.7
2026-09-15,island_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,502,10131,7/15,15,101.7
2026-09-15,island_akiba,スマスロ リコリス・リコイル,429,8024,12/26,26,101.8
2026-09-15,island_akiba,Lソードアート・オンライン,390,4596,7/14,14,102.8
2026-09-15,island_akiba,スマスロ スーパーブラックジャック,306,6122,3/6,6,101.7
2026-09-15,island_akiba,スロット ソードアート・オンラインⅡ,139,8560,10/19,19,100.5
2026-09-15,island_akiba,スマスロ ミリオンゴッド-神々の軌跡-,63,3448,2/6,6,100.6
2026-09-15,island_akiba,スマスロモンキーターンV,59,4616,1/6,6,100.4
2026-09-15,island_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,-59,7217,14/42,42,99.7
2026-09-15,island_akiba,Lパチスロ彼女、お借りします,-191,7636,4/10,10,99.2
2026-09-15,island_akiba,スマスロ とんでもスキルで異世界放浪メシ,-264,5098,2/6,6,98.3
2026-09-15,island_akiba,Lパチスロガールズ＆パンツァー 最終章,-284,3064,2/5,5,96.9
2026-09-15,island_akiba,スマスロ やじきた道中記参る！,-373,2854,0/2,2,95.6
2026-09-15,island_akiba,Lパチスロ炎炎ノ消防隊2,-390,2323,1/6,6,94.4
2026-09-15,island_akiba,L東京喰種,-424,8137,7/23,23,98.3
2026-09-15,island_akiba,Lパチスロ革命機ヴァルヴレイヴ2,-496,5445,2/10,10,97
2026-09-15,island_akiba,スロット ゾンビランドサガ,-593,2164,0/4,4,90.9
2026-09-15,island_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-1042,1458,0/2,2,76.2
2026-09-15,island_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,-1042,2132,0/2,2,83.7
2026-09-15,island_akiba,スマスロ 攻殻機動隊,-1384,4929,0/6,6,90.6
2026-09-15,island_akiba,戦国コレクション6,-1666,7976,1/8,8,93
2026-09-15,island_akiba,回胴式遊技機グランベルム,-1710,2002,0/2,2,71.5
2026-09-15,island_akiba,スマスロ タコスロ,-1722,3903,0/2,2,85.3
2026-09-15,island_akiba,スマスロ とある魔術の禁書目録2,-2073,7353,3/17,17,90.6
2026-09-15,island_akiba,L邪神ちゃんドロップキック,-2147,7712,1/7,7,90.7
2026-09-15,island_akiba,L虚構推理,-2443,4440,0/2,2,81.7
