date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-04-04,honkan,L無職転生～異世界行ったら本気だす～,9057,7905,2/2,2,138.2
2026-04-04,honkan,L ToLOVEるダークネス TRANCE ver.8.7,6241,6670,3/3,3,131.2
2026-04-04,honkan,スマスロ ゴッドイーター リザレクション,4879,5576,3/3,3,129.2
2026-04-04,honkan,Lアズールレーン THE ANIMATION,4783,7881,2/3,3,120.2
2026-04-04,honkan,Lパチスロ炎炎ノ消防隊2,4666,5683,3/6,6,127.4
2026-04-04,honkan,チバリヨ2,3707,6157,1/3,3,120.1
2026-04-04,honkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3406,5818,2/3,3,119.5
2026-04-04,honkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2907,6988,1/3,3,113.9
2026-04-04,honkan,Lスマスロ北斗の拳,2360,7237,6/9,9,110.9
2026-04-04,honkan,スマート沖スロ ドラゴンハナハナ～閃光～,2353,8039,2/2,2,109.8
2026-04-04,honkan,スマスロ 東京リベンジャーズ,2319,8198,4/5,5,109.4
2026-04-04,honkan,Lラブ嬢3～Wご指名はいかがですか?～,2308,4216,1/2,2,118.2
2026-04-04,honkan,Lパチスロ かぐや様は告らせたい,2043,8619,1/3,3,107.9
2026-04-04,honkan,スマスロモンキーターンV,1818,4406,10/12,12,113.7
2026-04-04,honkan,ニューキングハナハナV‐30,1807,7685,3/3,3,107.8
2026-04-04,honkan,スマスロ新鬼武者3,1432,5680,2/4,4,108.4
2026-04-04,honkan,Lパチスロ革命機ヴァルヴレイヴ2,1259,6845,4/8,8,106.1
2026-04-04,honkan,ハッピージャグラーＶＩＩＩ,1249,7321,5/5,5,105.7
2026-04-04,honkan,沖ドキ！ＧＯＬＤ,1009,3403,2/4,4,109.9
2026-04-04,honkan,スマスロネオプラネット,905,2256,2/2,2,113.4
2026-04-04,honkan,ウルトラミラクルジャグラー,879,6145,2/4,4,104.8
2026-04-04,honkan,ゴーゴージャグラー３,790,7398,8/14,14,103.6
2026-04-04,honkan,A-SLOT+ ディスクアップ ULTRAREMIX,760,4793,2/2,2,105.3
2026-04-04,honkan,スマスロ ハナビ,655,6341,3/4,4,103.4
2026-04-04,honkan,Lパチスロからくりサーカス,638,7256,2/3,3,102.9
2026-04-04,honkan,スマスロ化物語,553,6541,3/6,6,102.8
2026-04-04,honkan,ネオアイムジャグラーEX,514,6890,17/28,28,102.5
2026-04-04,honkan,L主役は銭形5,406,5563,1/3,3,102.4
2026-04-04,honkan,L東京喰種,365,7179,6/12,12,101.7
2026-04-04,honkan,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,269,6481,1/3,3,101.4
2026-04-04,honkan,ファンキージャグラー２ＫＴ,186,6229,5/10,10,101
2026-04-04,honkan,スマスロ北斗の拳 転生の章2,108,6700,6/16,16,100.5
2026-04-04,honkan,スマート沖スロ ニューキングハナハナV,105,7250,2/3,3,100.5
2026-04-04,honkan,いざ！番長,103,5769,1/4,4,100.6
2026-04-04,honkan,キングハナハナ-30,78,7544,5/10,10,100.3
2026-04-04,honkan,マイジャグラーV,54,6986,23/43,43,100.3
2026-04-04,honkan,ジャグラーガールズSS,41,7102,3/5,5,100.2
2026-04-04,honkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,33,6613,1/6,6,100.2
2026-04-04,honkan,スマスロ 沖ドキ!DUO アンコール,-36,3495,2/5,5,99.7
2026-04-04,honkan,スマスロ秘宝伝,-44,3102,1/2,2,99.5
2026-04-04,honkan,スマスロ真・北斗無双,-50,4784,1/2,2,99.7
2026-04-04,honkan,スマスロ 攻殻機動隊,-91,6127,2/4,4,99.5
2026-04-04,honkan,スマスロ スーパーブラックジャック,-92,4202,1/3,3,99.3
2026-04-04,honkan,沖ドキ！ＧＯＬＤ-30,-118,4781,5/15,15,99.2
2026-04-04,honkan,スマスロとある科学の超電磁砲2,-224,4704,2/3,3,98.4
2026-04-04,honkan,L戦国乙女４　戦乱に閃く炯眼の軍師,-256,4024,2/3,3,97.9
2026-04-04,honkan,アレックス ブライト,-285,5157,1/2,2,98.2
2026-04-04,honkan,ミスタージャグラー,-297,6555,0/3,3,98.5
2026-04-04,honkan,LBパチスロ ヱヴァンゲリヲン～約束の扉～,-300,3158,0/3,3,96.8
2026-04-04,honkan,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,-551,2037,0/2,2,91
2026-04-04,honkan,Lパチスロうみねこのなく頃に2,-893,5134,0/2,2,94.2
2026-04-04,honkan,新ハナビ,-1044,3371,0/2,2,89.7
2026-04-04,honkan,プリズムナナ,-1091,5692,1/2,2,93.6
2026-04-04,honkan,スマスロ 甲鉄城のカバネリ 海門決戦,-1286,6319,3/12,12,93.2
2026-04-04,honkan,スマスロ ゴブリンスレイヤーⅡ,-1574,4525,1/4,4,88.4
2026-04-04,honkan,スマスロ鉄拳6,-1862,5188,1/4,4,88
2026-04-04,honkan,沖ドキ!ゴージャス 30Φ,-1892,5608,2/6,6,88.8
2026-04-04,honkan,吉宗,-2059,4561,0/3,3,84.9
2026-04-04,honkan,スマスロ モンスターハンターライズ,-2196,4501,0/5,5,83.7
2026-04-04,honkan,沖ドキ！BLACK,-2222,5317,0/4,4,86.1
2026-04-04,honkan,Lパチスロ炎炎ノ消防隊,-2705,4964,0/2,2,81.8
2026-04-04,honkan,L ToLOVEるダークネス,-3040,5215,0/2,2,80.6
2026-04-04,honkan,Lパチスロ革命機ヴァルヴレイヴ,-3044,8106,0/2,2,87.5
