date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-09-06,espace_akiba,L虚構推理,6812,6787,4/4,4,133.5
2026-09-06,espace_akiba,スマスロ 攻殻機動隊,3517,4799,4/6,6,124.4
2026-09-06,espace_akiba,Lパチスロガールズ＆パンツァー 最終章,3079,4901,2/3,3,120.9
2026-09-06,espace_akiba,スマスロ モンスターハンターライズ,3075,6100,2/3,3,116.8
2026-09-06,espace_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,2836,5057,4/8,8,118.7
2026-09-06,espace_akiba,パチスロ　マクロスデルタ,2708,7291,2/2,2,112.4
2026-09-06,espace_akiba,スロット ゾンビランドサガ,2262,3987,2/2,2,118.9
2026-09-06,espace_akiba,スマスロ ゴッドイーター リザレクション,2032,5091,2/3,3,113.3
2026-09-06,espace_akiba,スマスロ化物語,2017,5731,4/8,8,111.7
2026-09-06,espace_akiba,Lスマスロとある魔術の禁書目録,1938,5688,3/4,4,111.4
2026-09-06,espace_akiba,Lパチスロ炎炎ノ消防隊2,1570,6241,3/8,8,108.4
2026-09-06,espace_akiba,いざ！番長,1552,5550,1/2,2,109.3
2026-09-06,espace_akiba,Lパチスロ革命機ヴァルヴレイヴ2,1296,6761,6/10,10,106.4
2026-09-06,espace_akiba,パチスロ戦国恋姫,1007,6466,4/4,4,105.2
2026-09-06,espace_akiba,スマスロ とんでもスキルで異世界放浪メシ,954,3294,3/6,6,109.6
2026-09-06,espace_akiba,L東京喰種,909,6051,13/28,28,105
2026-09-06,espace_akiba,Lアズールレーン THE ANIMATION,872,5772,1/3,3,105
2026-09-06,espace_akiba,戦国コレクション6,805,5226,6/10,10,105.1
2026-09-06,espace_akiba,スマスロ スーパーリオエース2,754,5233,2/4,4,104.8
2026-09-06,espace_akiba,スマスロモンキーターンV,713,4239,5/11,11,105.6
2026-09-06,espace_akiba,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,604,5121,2/3,3,103.9
2026-09-06,espace_akiba,スマスロ ストリートファイター6,568,3273,2/5,5,105.8
2026-09-06,espace_akiba,L南国育ち SPECIAL,546,6059,1/2,2,103
2026-09-06,espace_akiba,ゴーゴージャグラー３,356,5585,4/6,6,102.1
2026-09-06,espace_akiba,この素晴らしい世界に祝福を！,285,5334,1/5,5,101.8
2026-09-06,espace_akiba,ファンキージャグラー２ＫＴ,218,5229,5/9,9,101.4
2026-09-06,espace_akiba,マイジャグラーV,188,5674,13/27,27,101.1
2026-09-06,espace_akiba,Lバンドリ！,182,4512,4/8,8,101.3
2026-09-06,espace_akiba,真打 吉宗,122,5290,4/10,10,100.8
2026-09-06,espace_akiba,L ToLOVEるダークネス TRANCE ver.8.7,122,6850,13/30,30,100.6
2026-09-06,espace_akiba,ジャグラーガールズSS,109,6133,2/4,4,100.6
2026-09-06,espace_akiba,スマスロ頭文字D 2nd,104,5981,1/3,3,100.6
2026-09-06,espace_akiba,ネオアイムジャグラーEX,82,5152,2/5,5,100.5
2026-09-06,espace_akiba,スマスロ サンダーV,57,5059,1/2,2,100.4
2026-09-06,espace_akiba,スマスロ ハナビ,-44,4774,2/4,4,99.7
2026-09-06,espace_akiba,Lソードアート・オンライン,-147,5067,4/10,10,99
2026-09-06,espace_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,-164,5246,1/3,3,99
2026-09-06,espace_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,-186,5321,11/25,25,98.8
2026-09-06,espace_akiba,スロット Re:ゼロから始める異世界生活 season2,-191,5611,1/2,2,98.9
2026-09-06,espace_akiba,ハッピージャグラーＶＩＩＩ,-245,4208,0/2,2,98.1
2026-09-06,espace_akiba,L戦国乙女5 業火を穿つ宿焔の双刃,-263,7173,13/32,32,98.8
2026-09-06,espace_akiba,スマスロ とある魔術の禁書目録2,-270,7487,7/20,20,98.8
2026-09-06,espace_akiba,A-SLOT+異世界かるてっとBT,-293,5332,1/4,4,98.2
2026-09-06,espace_akiba,L無職転生～異世界行ったら本気だす～,-296,8378,1/2,2,98.8
2026-09-06,espace_akiba,忍魂参～奥義皆伝ノ章～,-300,5199,0/3,3,98.1
2026-09-06,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,-301,4338,16/50,50,97.7
2026-09-06,espace_akiba,スマスロとある科学の超電磁砲2,-465,6100,1/3,3,97.5
2026-09-06,espace_akiba,スマスロ ミリオンゴッド-神々の軌跡-,-469,5907,4/14,14,97.4
2026-09-06,espace_akiba,スロット ワールドダイスター,-547,7422,2/4,4,97.5
2026-09-06,espace_akiba,Lスマスロ転生したらスライムだった件,-596,7063,1/3,3,97.2
2026-09-06,espace_akiba,回胴式遊技機グランベルム,-825,4710,2/7,7,94.2
2026-09-06,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-830,3573,1/3,3,92.3
2026-09-06,espace_akiba,Lパチスロ喰霊-零-Re,-833,6550,1/5,5,95.8
2026-09-06,espace_akiba,スマスロ シャーマンキング,-965,3787,1/3,3,91.5
2026-09-06,espace_akiba,ウルトラミラクルジャグラー,-1045,3522,0/2,2,90.1
2026-09-06,espace_akiba,Lパチスロうみねこのなく頃に2,-1269,6239,0/4,4,93.2
2026-09-06,espace_akiba,Lパチスロからくりサーカス2,-1304,4241,1/10,10,89.7
2026-09-06,espace_akiba,パチスロ　戦姫絶唱シンフォギア　勇気の歌,-1748,4085,0/2,2,85.7
2026-09-06,espace_akiba,L邪神ちゃんドロップキック,-1793,6655,1/4,4,91
2026-09-06,espace_akiba,スマスロ やじきた道中記参る！,-1809,5418,1/5,5,88.9
2026-09-06,espace_akiba,A-SLOT+ ディスクアップ ULTRAREMIX,-1899,4253,0/3,3,85.1
2026-09-06,espace_akiba,スロット ソードアート・オンラインⅡ,-2003,8089,7/24,24,91.7
