date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-04-14,island_akiba,Lパチスロ戦姫絶唱シンフォギア 正義の歌,2441,5939,1/2,2,113.7
2026-04-14,island_akiba,スマスロモンキーターンV,1976,5337,4/7,7,112.3
2026-04-14,island_akiba,Lバンドリ！,1592,5539,5/11,11,109.6
2026-04-14,island_akiba,Lパチスロ かぐや様は告らせたい,1317,4907,10/14,14,108.9
2026-04-14,island_akiba,スロット ゾンビランドサガ,1215,3547,1/6,6,111.4
2026-04-14,island_akiba,スマスロヨルムンガンド,1101,7357,5/8,8,105
2026-04-14,island_akiba,Lパチスロうみねこのなく頃に2,796,5382,3/4,4,104.9
2026-04-14,island_akiba,スマスロ鉄拳6,779,3499,1/2,2,107.4
2026-04-14,island_akiba,スマスロ北斗の拳 転生の章2,716,4240,2/5,5,105.6
2026-04-14,island_akiba,Lパチスロ炎炎ノ消防隊2,641,3664,6/14,14,105.8
2026-04-14,island_akiba,Lソードアート・オンライン,636,4397,9/20,20,104.8
2026-04-14,island_akiba,Lパチスロ革命機ヴァルヴレイヴ2,615,7903,9/17,17,102.6
2026-04-14,island_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,610,2304,4/8,8,108.8
2026-04-14,island_akiba,L虚構推理,506,9034,2/5,5,101.9
2026-04-14,island_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,434,4205,4/5,5,103.4
2026-04-14,island_akiba,Lアズールレーン THE ANIMATION,369,4151,4/8,8,103
2026-04-14,island_akiba,スマスロとある科学の超電磁砲2,255,4857,7/15,15,101.8
2026-04-14,island_akiba,真打 吉宗,95,6708,5/10,10,100.5
2026-04-14,island_akiba,マイジャグラーV,86,5196,2/10,10,100.6
2026-04-14,island_akiba,スマスロ化物語,-99,6619,7/17,17,99.5
2026-04-14,island_akiba,L ToLOVEるダークネス,-149,4131,14/42,42,98.8
2026-04-14,island_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,-169,6275,13/43,43,99.1
2026-04-14,island_akiba,Lパチスロガールズ＆パンツァー 最終章,-254,2850,3/9,9,97
2026-04-14,island_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,-297,4541,8/26,26,97.8
2026-04-14,island_akiba,Lダーリン・イン・ザ・フランキス,-361,4394,1/2,2,97.3
2026-04-14,island_akiba,スマスロ 攻殻機動隊,-401,7024,2/5,5,98.1
2026-04-14,island_akiba,ネオアイムジャグラーEX,-410,4334,1/5,5,96.8
2026-04-14,island_akiba,L東京喰種,-425,7327,6/17,17,98.1
2026-04-14,island_akiba,スマスロ ゴッドイーター リザレクション,-466,2287,1/5,5,93.2
2026-04-14,island_akiba,スマスロ 七つの魔剣が支配する,-739,3152,0/2,2,92.2
2026-04-14,island_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,-844,8185,6/14,14,96.6
2026-04-14,island_akiba,スマスロ スーパーブラックジャック,-908,5440,4/14,14,94.4
2026-04-14,island_akiba,L無職転生～異世界行ったら本気だす～,-916,3807,1/8,8,92
2026-04-14,island_akiba,回胴式遊技機グランベルム,-1547,2878,0/2,2,82.1
2026-04-14,island_akiba,スマスロ シャーマンキング,-1570,2227,0/2,2,76.5
