date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2001,6017,19,20,-898,95,154,317,301
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2002,2708,9,5,-396,95.1,193,301,542
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2003,3497,13,4,-795,92.4,206,269,874
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2004,2457,7,5,-697,90.5,205,351,491
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2005,3071,11,8,-492,94.7,162,279,384
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2006,1791,3,1,-1193,77.8,448,597,1791
2026-08-09,shinkan,ハッピージャグラーＶＩＩＩ,2007,7133,35,18,1921,109,135,204,396
2026-08-09,shinkan,ネオアイムジャグラーEX,2008,3154,11,4,-594,93.7,210,287,789
2026-08-09,shinkan,ネオアイムジャグラーEX,2009,3243,11,6,-398,95.9,191,295,541
2026-08-09,shinkan,ネオアイムジャグラーEX,2010,2595,8,6,-492,93.7,185,324,433
2026-08-09,shinkan,ネオアイムジャグラーEX,2011,2894,9,8,-396,95.4,170,322,362
2026-08-09,shinkan,ネオアイムジャグラーEX,2012,4643,15,10,-892,93.6,186,310,464
2026-08-09,shinkan,ネオアイムジャグラーEX,2013,4214,12,9,-1292,89.8,201,351,468
2026-08-09,shinkan,マイジャグラーV,2014,4165,15,7,-497,96,189,278,595
2026-08-09,shinkan,マイジャグラーV,2015,7009,23,25,301,101.4,146,305,280
2026-08-09,shinkan,マイジャグラーV,2016,7521,25,24,-798,96.5,153,301,313
2026-08-09,shinkan,マイジャグラーV,2017,3814,12,10,-496,95.7,173,318,381
2026-08-09,shinkan,マイジャグラーV,2018,7347,25,26,0,100,144,294,283
2026-08-09,shinkan,マイジャグラーV,2019,6577,22,17,-690,96.5,169,299,387
2026-08-09,shinkan,マイジャグラーV,2020,5583,18,14,-697,95.8,174,310,399
2026-08-09,shinkan,マイジャグラーV,2021,8108,31,27,302,101.2,140,262,300
2026-08-09,shinkan,マイジャグラーV,2022,8342,46,22,3509,114,123,181,379
2026-08-09,shinkan,マイジャグラーV,2023,4883,21,14,1210,108.3,140,233,349
2026-08-09,shinkan,マイジャグラーV,2024,8068,31,30,904,103.7,132,260,269
2026-08-09,shinkan,マイジャグラーV,2025,4390,20,8,903,106.9,157,220,549
2026-08-09,shinkan,マイジャグラーV,2026,7466,28,25,208,100.9,141,267,299
2026-08-09,shinkan,マイジャグラーV,2027,3191,10,7,-794,91.7,188,319,456
2026-08-09,shinkan,マイジャグラーV,2028,4769,17,14,104,100.7,154,281,341
2026-08-09,shinkan,マイジャグラーV,2029,5286,20,12,0,100,165,264,441
2026-08-09,shinkan,マイジャグラーV,2030,5583,27,8,1003,106,160,207,698
2026-08-09,shinkan,マイジャグラーV,2031,6082,20,18,-594,96.7,160,304,338
2026-08-09,shinkan,ゴーゴージャグラー３,2032,3756,11,11,-894,92.1,171,341,341
2026-08-09,shinkan,ゴーゴージャグラー３,2033,4473,22,12,1107,108.2,132,203,373
2026-08-09,shinkan,ゴーゴージャグラー３,2034,6651,30,16,306,101.5,145,222,416
2026-08-09,shinkan,ゴーゴージャグラー３,2035,5990,23,15,-492,97.3,158,260,399
2026-08-09,shinkan,ファンキージャグラー２ＫＴ,2036,2449,5,5,-1193,83.8,245,490,490
2026-08-09,shinkan,ファンキージャグラー２ＫＴ,2037,3592,16,5,204,101.9,171,225,718
2026-08-09,shinkan,ファンキージャグラー２ＫＴ,2038,8041,33,19,108,100.4,155,244,423
2026-08-09,shinkan,ファンキージャグラー２ＫＴ,2039,0,0,0,0,,,,
2026-08-09,shinkan,ファンキージャグラー２ＫＴ,2040,1082,3,1,-95,97.1,271,361,1082
2026-08-09,shinkan,ミスタージャグラー,2041,7057,37,27,3700,117.5,110,191,261
2026-08-09,shinkan,ミスタージャグラー,2042,8065,35,35,3308,113.7,115,230,230
2026-08-09,shinkan,ミスタージャグラー,2043,5053,24,29,2206,114.6,95,211,174
2026-08-09,shinkan,ウルトラミラクルジャグラー,2044,5287,23,12,406,102.6,151,230,441
2026-08-09,shinkan,ウルトラミラクルジャグラー,2045,2740,6,9,-892,89.1,183,457,304
2026-08-09,shinkan,ウルトラミラクルジャグラー,2046,2094,6,3,-797,87.3,233,349,698
2026-08-09,shinkan,ジャグラーガールズSS,2047,7178,34,19,1105,105.1,135,211,378
2026-08-09,shinkan,ジャグラーガールズSS,2048,1591,3,3,-793,83.4,265,530,530
2026-08-09,shinkan,ジャグラーガールズSS,2049,5155,17,15,-396,97.4,161,303,344
2026-08-09,shinkan,ジャグラーガールズSS,2050,3378,12,13,0,100,135,282,260
2026-08-09,shinkan,ジャグラーガールズSS,2051,2025,6,4,-594,90.2,203,338,506
2026-08-09,shinkan,ゴーゴージャグラー３,2052,3211,11,8,-499,94.8,169,292,401
2026-08-09,shinkan,ゴーゴージャグラー３,2053,2170,8,6,-95,98.5,155,271,362
2026-08-09,shinkan,ゴーゴージャグラー３,2054,4376,13,11,-992,92.4,182,337,398
2026-08-09,shinkan,ゴーゴージャグラー３,2055,6260,31,18,1608,108.6,128,202,348
2026-08-09,shinkan,ゴーゴージャグラー３,2056,2725,9,5,-890,89.1,195,303,545
2026-08-09,shinkan,ゴーゴージャグラー３,2057,5765,27,16,806,104.7,134,214,360
2026-08-09,shinkan,スロット ゾンビランドサガ,2058,1647,4,0,-1298,73.7,412,412,
2026-08-09,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,2059,2002,5,0,-1699,71.7,400,400,
2026-08-09,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,2060,2192,12,0,-992,84.9,183,183,
2026-08-09,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,2061,5346,30,0,1891,111.8,178,178,
2026-08-09,shinkan,戦国コレクション6,2062,6063,0,13,1208,106.6,466,,466
2026-08-09,shinkan,戦国コレクション6,2063,3456,0,8,-2103,79.7,432,,432
2026-08-09,shinkan,戦国コレクション6,2064,2309,0,4,-1695,75.5,577,,577
2026-08-09,shinkan,,2065,4047,15,0,-1692,86.1,270,270,
2026-08-09,shinkan,,2066,3168,7,0,-693,92.7,453,453,
2026-08-09,shinkan,,2067,5380,17,0,403,102.5,316,316,
2026-08-09,shinkan,,2068,1737,8,0,-594,88.6,217,217,
2026-08-09,shinkan,,2069,5503,19,0,-1195,92.8,290,290,
2026-08-09,shinkan,,2070,2776,5,0,-1991,76.1,555,555,
2026-08-09,shinkan,,2071,6147,16,0,-2599,85.9,384,384,
2026-08-09,shinkan,スマスロ化物語,2072,4165,0,13,-1294,89.6,320,,320
2026-08-09,shinkan,スマスロ化物語,2073,7108,0,24,-2104,90.1,296,,296
2026-08-09,shinkan,スマスロ化物語,2074,1105,0,3,307,109.3,368,,368
2026-08-09,shinkan,スマスロ化物語,2075,3502,0,9,-1799,82.9,389,,389
2026-08-09,shinkan,スマスロ化物語,2076,1180,0,3,-992,72,393,,393
2026-08-09,shinkan,スマスロ化物語,2077,499,0,2,-291,80.6,250,,250
2026-08-09,shinkan,,2078,6713,0,39,3203,115.9,172,,172
2026-08-09,shinkan,,2079,7764,0,50,891,103.8,155,,155
2026-08-09,shinkan,,2080,7819,0,44,1804,107.7,178,,178
2026-08-09,shinkan,,2081,3627,0,9,-1297,88.1,403,,403
2026-08-09,shinkan,,2082,5166,0,14,501,103.2,369,,369
2026-08-09,shinkan,,2083,3786,0,10,3905,134.4,379,,379
2026-08-09,shinkan,スマスロケロット5BT,2084,4268,19,7,-393,96.9,164,225,610
2026-08-09,shinkan,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2085,2118,8,3,0,100,193,265,706
2026-08-09,shinkan,SHAKE BONUS TRIGGER,2086,2001,2,4,-1690,71.8,334,1001,500
2026-08-09,shinkan,L不二子BT,2087,545,0,1,-594,63.7,545,,545
2026-08-09,shinkan,A-SLOT+異世界かるてっとBT,2088,4988,20,10,1314,108.8,166,249,499
2026-08-09,shinkan,A-SLOT+異世界かるてっとBT,2089,783,1,2,-590,74.9,261,783,392
2026-08-09,shinkan,,2090,1842,5,4,-95,98.3,205,368,461
2026-08-09,shinkan,,2091,5821,18,16,208,101.2,171,323,364
2026-08-09,shinkan,,2092,5118,0,0,-1694,89,,,
2026-08-09,shinkan,,2093,3185,0,0,-3104,67.5,,,
2026-08-09,shinkan,,2094,4853,0,0,-290,98,,,
2026-08-09,shinkan,,2095,3608,9,0,521,104.8,401,401,
2026-08-09,shinkan,,2096,2651,0,0,-1194,85,,,
2026-08-09,shinkan,,2097,3185,0,0,-493,94.8,,,
2026-08-09,shinkan,,2098,5734,0,0,-2708,84.3,,,
2026-08-09,shinkan,,2099,4854,4,0,2907,120,1214,1214,
2026-08-09,shinkan,,2100,4993,0,0,-5281,64.7,,,
2026-08-09,shinkan,,2101,4099,0,0,-2796,77.3,,,
2026-08-09,shinkan,ネオアイムジャグラーEX,2102,2010,6,4,-499,91.7,201,335,503
2026-08-09,shinkan,ネオアイムジャグラーEX,2103,7838,43,19,3006,112.8,126,182,413
2026-08-09,shinkan,ネオアイムジャグラーEX,2104,4812,27,13,2314,116,120,178,370
2026-08-09,shinkan,ネオアイムジャグラーEX,2105,5571,22,15,209,101.3,151,253,371
2026-08-09,shinkan,ネオアイムジャグラーEX,2106,2770,6,6,-1292,84.5,231,462,462
