date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-08-08,honkan,,2001,5921,16,12,-1693,90.5,211,370,493
2026-08-08,honkan,,2002,6159,19,13,-1095,94.1,192,324,474
2026-08-08,honkan,,2003,6652,28,21,1010,105.1,136,238,317
2026-08-08,honkan,,2004,7114,34,25,2009,109.4,121,209,285
2026-08-08,honkan,,2005,8141,40,28,2915,111.9,120,204,291
2026-08-08,honkan,,2006,6764,23,21,-498,97.5,154,294,322
2026-08-08,honkan,,2007,6798,37,23,3197,115.7,113,184,296
2026-08-08,honkan,,2008,7609,29,21,-98,99.6,152,262,362
2026-08-08,honkan,,2009,8146,27,29,0,100,145,302,281
2026-08-08,honkan,,2010,5535,20,11,-794,95.2,179,277,503
2026-08-08,honkan,,2011,8418,41,20,1301,105.2,138,205,421
2026-08-08,honkan,,2012,6485,26,21,609,103.1,138,249,309
2026-08-08,honkan,,2013,6006,31,17,1807,110,125,194,353
2026-08-08,honkan,,2014,7570,25,25,-196,99.1,151,303,303
2026-08-08,honkan,,2015,6751,31,19,903,104.5,135,218,355
2026-08-08,honkan,,2016,7564,36,22,1610,107.1,130,210,344
2026-08-08,honkan,,2017,6455,32,15,1401,107.2,137,202,430
2026-08-08,honkan,,2018,9305,32,30,-195,99.3,150,291,310
2026-08-08,honkan,,2019,7466,27,23,209,100.9,149,277,325
2026-08-08,honkan,,2020,7152,33,26,2114,109.9,121,217,275
2026-08-08,honkan,,2021,5761,15,17,-1792,89.6,180,384,339
2026-08-08,honkan,,2022,7724,25,17,-1395,94,184,309,454
2026-08-08,honkan,,2023,5865,22,12,-490,97.2,173,267,489
2026-08-08,honkan,,2024,6678,29,21,1309,106.5,134,230,318
2026-08-08,honkan,,2025,7198,28,24,805,103.7,138,257,300
2026-08-08,honkan,,2026,5893,22,23,401,102.3,131,268,256
2026-08-08,honkan,,2027,8072,38,28,2616,110.8,122,212,288
2026-08-08,honkan,,2028,7898,24,24,205,100.9,165,329,329
2026-08-08,honkan,,2029,4306,14,13,208,101.6,159,308,331
2026-08-08,honkan,,2030,6977,21,18,-697,96.7,179,332,388
2026-08-08,honkan,スマスロ サンダーV,2031,5850,21,12,-495,97.2,177,279,488
2026-08-08,honkan,アレックス ブライト,2032,2531,7,5,-293,96.1,211,362,506
2026-08-08,honkan,A-SLOT+異世界かるてっとBT,2033,4394,31,11,0,100,105,142,399
2026-08-08,honkan,L不二子BT,2034,3055,9,13,-1597,82.6,139,339,235
2026-08-08,honkan,SHAKE BONUS TRIGGER,2035,4517,10,19,-699,94.8,156,452,238
2026-08-08,honkan,ローティス,2036,3143,17,8,-199,97.9,126,185,393
2026-08-08,honkan,,2037,3436,19,10,0,100,118,181,344
2026-08-08,honkan,,2038,1960,13,4,605,110.3,115,151,490
2026-08-08,honkan,,2039,5290,25,13,-1490,90.6,139,212,407
2026-08-08,honkan,,2040,5534,21,9,-1493,91,184,264,615
2026-08-08,honkan,,2041,7153,52,11,5405,125.2,114,138,650
2026-08-08,honkan,,2042,7253,22,17,-3685,83.1,186,330,427
2026-08-08,honkan,,2043,6798,45,16,4808,123.6,111,151,425
2026-08-08,honkan,,2044,2363,12,1,-596,91.6,182,197,2363
2026-08-08,honkan,,2045,2108,2,13,-2301,63.6,141,1054,162
2026-08-08,honkan,,2046,1630,5,5,-1593,67.4,163,326,326
2026-08-08,honkan,,2047,3497,16,8,1698,116.2,146,219,437
2026-08-08,honkan,スマスロケロット5BT,2048,6485,24,12,-896,95.4,180,270,540
2026-08-08,honkan,バーサスリヴァイズ,2049,3555,14,8,310,102.9,162,254,444
2026-08-08,honkan,,2050,7371,27,20,-293,98.7,157,273,369
2026-08-08,honkan,,2051,6660,23,16,-794,96,171,290,416
2026-08-08,honkan,,2052,5520,20,16,-96,99.4,153,276,345
2026-08-08,honkan,,2053,6155,22,22,301,101.6,140,280,280
2026-08-08,honkan,,2054,7110,24,20,-396,98.1,162,296,356
2026-08-08,honkan,,2055,8411,25,31,-892,96.5,150,336,271
2026-08-08,honkan,,2056,7649,28,34,1502,106.5,123,273,225
2026-08-08,honkan,,2057,8335,41,30,3197,112.8,117,203,278
2026-08-08,honkan,,2058,8174,35,33,2316,109.4,120,234,248
2026-08-08,honkan,,2059,5163,14,14,-1896,87.8,184,369,369
2026-08-08,honkan,,2060,5460,14,15,-1799,89,188,390,364
2026-08-08,honkan,,2061,8606,36,38,1806,107,116,239,226
2026-08-08,honkan,,2062,8289,29,36,1306,105.3,128,286,230
2026-08-08,honkan,,2063,8602,24,38,-299,98.8,139,358,226
2026-08-08,honkan,,2064,5642,25,14,1003,105.9,145,226,403
2026-08-08,honkan,,2065,6811,27,29,1505,107.4,122,252,235
2026-08-08,honkan,,2066,8531,32,38,1717,106.7,122,267,225
