date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-06-28,honkan,,2091,1154,1,2,-798,76.9,385,1154,577
2026-06-28,honkan,,2092,3046,11,5,-195,97.9,190,277,609
2026-06-28,honkan,,2093,6311,30,17,1612,108.5,134,210,371
2026-06-28,honkan,,2094,7358,30,24,1310,105.9,136,245,307
2026-06-28,honkan,,2095,8163,23,31,-1298,94.7,151,355,263
2026-06-28,honkan,,2096,7669,32,29,1702,107.4,126,240,264
2026-06-28,honkan,,2097,5086,7,10,-2885,81.1,299,727,509
2026-06-28,honkan,,2098,7434,29,24,504,102.3,140,256,310
2026-06-28,honkan,,2099,6376,22,17,-397,97.9,163,290,375
2026-06-28,honkan,,2100,8794,34,31,1295,104.9,135,259,284
2026-06-28,honkan,,2101,7286,33,23,2495,111.4,130,221,317
2026-06-28,honkan,,2102,4729,12,12,-1386,90.2,197,394,394
2026-06-28,honkan,,2103,4319,9,9,-2090,83.9,240,480,480
2026-06-28,honkan,,2104,5721,24,15,500,102.9,147,238,381
2026-06-28,honkan,,2105,5965,19,23,0,100,142,314,259
2026-06-28,honkan,,2106,5701,18,13,-798,95.3,184,317,439
2026-06-28,honkan,,2107,7758,29,28,496,102.1,136,268,277
2026-06-28,honkan,,2108,3969,16,10,405,103.4,153,248,397
2026-06-28,honkan,,2109,6907,26,30,1304,106.3,123,266,230
2026-06-28,honkan,,2110,1516,5,2,-302,93.4,217,303,758
2026-06-28,honkan,,2111,3909,15,7,-503,95.7,178,261,558
2026-06-28,honkan,,2112,2647,10,4,-390,95.1,189,265,662
2026-06-28,honkan,,2113,1718,4,3,-794,84.6,245,430,573
2026-06-28,honkan,,2114,4749,16,11,-596,95.8,176,297,432
2026-06-28,honkan,,2115,4375,18,4,-597,95.5,199,243,1094
2026-06-28,honkan,,2116,6357,19,14,-1490,92.2,193,335,454
2026-06-28,honkan,,2117,5429,12,14,-1897,88.4,209,452,388
2026-06-28,honkan,,2118,6529,24,22,-104,99.5,142,272,297
2026-06-28,honkan,,2119,4856,20,7,0,100,180,243,694
2026-06-28,honkan,,2120,6685,24,23,202,101,142,279,291
2026-06-28,honkan,,2121,5531,25,6,206,101.2,178,221,922
2026-06-28,honkan,,2122,9078,40,31,2310,108.5,128,227,293
2026-06-28,honkan,,2123,7582,33,21,803,103.5,140,230,361
2026-06-28,honkan,,2124,7421,30,17,195,100.9,158,247,437
