date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-05-28,honkan,スマスロ 沖ドキ!DUO アンコール,3100,2933,2/3,3,135.2
2026-05-28,honkan,沖ドキ！ＧＯＬＤ,1505,4429,3/3,3,111.3
2026-05-28,honkan,Lパチスロうみねこのなく頃に2,1149,2968,1/2,2,112.9
2026-05-28,honkan,スマスロ モンスターハンターライズ,832,318,1/3,3,187.1
2026-05-28,honkan,スマスロ 攻殻機動隊,804,1543,3/4,4,117.4
2026-05-28,honkan,真打 吉宗,625,2560,3/6,6,108.1
2026-05-28,honkan,ミスタージャグラー,600,3136,1/3,3,106.4
2026-05-28,honkan,スマスロ ハナビ,558,3357,3/4,4,105.5
2026-05-28,honkan,スマスロ バイオハザードRE:3,540,2144,4/9,9,108.4
2026-05-28,honkan,マイジャグラーV,506,5425,27/48,48,103.1
2026-05-28,honkan,スマスロ化物語,504,856,3/7,7,119.6
2026-05-28,honkan,スマスロモンキーターンV,488,1354,6/12,12,112
2026-05-28,honkan,アレックス ブライト,356,1947,2/2,2,106.1
2026-05-28,honkan,プリズムナナ,355,1861,1/2,2,106.4
2026-05-28,honkan,Lパチスロ炎炎ノ消防隊2,271,3071,3/6,6,102.9
2026-05-28,honkan,沖ドキ!ゴージャス 30Φ,250,4317,2/7,7,101.9
2026-05-28,honkan,スマスロ鉄拳6,199,816,1/4,4,108.1
2026-05-28,honkan,Lスマスロ北斗の拳,195,637,5/8,8,110.2
2026-05-28,honkan,スマスロ北斗の拳 転生の章2,193,2400,7/17,17,102.7
2026-05-28,honkan,L無職転生～異世界行ったら本気だす～,58,33,1/2,2,159.5
2026-05-28,honkan,ネオアイムジャグラーEX,41,2161,9/26,26,100.6
2026-05-28,honkan,ゴーゴージャグラー３,26,2680,6/14,14,100.3
2026-05-28,honkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,0,355,0/3,3,100
2026-05-28,honkan,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,0,261,0/3,3,100
2026-05-28,honkan,キングハナハナ-30,-27,2824,4/10,10,99.7
2026-05-28,honkan,沖ドキ！ＧＯＬＤ-30,-49,2154,8/16,16,99.2
2026-05-28,honkan,Lラブ嬢3～Wご指名はいかがですか?～,-50,2340,0/2,2,99.3
2026-05-28,honkan,ジャグラーガールズSS,-54,1887,1/5,5,99
2026-05-28,honkan,スマスロ 甲鉄城のカバネリ 海門決戦,-60,3370,6/12,12,99.4
2026-05-28,honkan,ハッピージャグラーＶＩＩＩ,-116,1890,1/5,5,98
2026-05-28,honkan,ニューキングハナハナV‐30,-129,2297,1/3,3,98.1
2026-05-28,honkan,Lパチスロからくりサーカス,-129,1454,0/3,3,97
2026-05-28,honkan,スマスロ ゴッドイーター リザレクション,-166,984,1/3,3,94.4
2026-05-28,honkan,スマスロとある科学の超電磁砲2,-200,478,0/2,2,86.1
2026-05-28,honkan,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,-229,276,1/3,3,72.4
2026-05-28,honkan,ファンキージャグラー２ＫＴ,-239,3187,1/7,7,97.5
2026-05-28,honkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,-245,1299,1/6,6,93.7
2026-05-28,honkan,スマスロヨルムンガンド,-252,1286,1/2,2,93.5
2026-05-28,honkan,スマスロ スーパーリオエース2,-314,3019,1/5,5,96.5
2026-05-28,honkan,L東京喰種,-333,2013,7/18,18,94.5
2026-05-28,honkan,スマート沖スロ ニューキングハナハナV,-394,2246,1/4,4,94.2
2026-05-28,honkan,ウルトラミラクルジャグラー,-397,2136,0/4,4,93.8
2026-05-28,honkan,A-SLOT+ ディスクアップ ULTRAREMIX,-542,3080,1/2,2,94.1
2026-05-28,honkan,L主役は銭形5,-597,1179,0/3,3,83.1
2026-05-28,honkan,いざ！番長,-701,1478,0/3,3,84.2
2026-05-28,honkan,L戦国乙女４　戦乱に閃く炯眼の軍師,-761,776,0/3,3,67.3
2026-05-28,honkan,スマスロ スーパーブラックジャック,-802,689,0/2,2,61.2
2026-05-28,honkan,チバリヨ2,-1203,867,0/3,3,53.8
2026-05-28,honkan,L ToLOVEるダークネス TRANCE ver.8.7,-1326,1201,0/3,3,63.2
2026-05-28,honkan,スマスロ ミリオンゴッド-神々の軌跡-,-1384,5620,1/10,10,91.8
2026-05-28,honkan,スマスロ新鬼武者3,-1552,1433,0/2,2,63.9
2026-05-28,honkan,Lアズールレーン THE ANIMATION,-1560,2680,0/3,3,80.6
2026-05-28,honkan,沖ドキ！BLACK,-2222,4051,0/4,4,81.7
2026-05-28,honkan,スマスロ ビッグドリーム THE GOLDEN PUSHER,-2692,3559,0/3,3,74.8
2026-05-28,honkan,Lパチスロ革命機ヴァルヴレイヴ2,0,0,0/4,4,
2026-05-28,honkan,スマスロ 東京リベンジャーズ,0,0,0/3,3,
2026-05-28,honkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,0,0,0/2,2,
