date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-08-19,stardust,スマスロ やじきた道中記参る！,3243,5179,1/3,3,120.9
2026-08-19,stardust,Lパチスロからくりサーカス2,1031,3487,4/6,6,109.9
2026-08-19,stardust,真打 吉宗,975,3584,2/5,5,109.1
2026-08-19,stardust,Lスマスロ北斗の拳,947,1936,4/6,6,116.3
2026-08-19,stardust,L東京喰種,889,2252,6/8,8,113.2
2026-08-19,stardust,ハッピージャグラーＶＩＩＩ,610,2429,1/3,3,108.4
2026-08-19,stardust,いざ！番長,590,2437,3/3,3,108.1
2026-08-19,stardust,スマスロ バイオハザードRE:3,561,802,2/3,3,123.3
2026-08-19,stardust,スマスロ サンダーV,521,2699,2/2,2,106.4
2026-08-19,stardust,ゴーゴージャグラー３,195,2945,3/6,6,102.2
2026-08-19,stardust,スマスロケロット5BT,153,2011,1/2,2,102.5
2026-08-19,stardust,ネオアイムジャグラーEX,151,2249,3/5,5,102.2
2026-08-19,stardust,マイジャグラーV,74,3284,7/16,16,100.7
2026-08-19,stardust,ウルトラミラクルジャグラー,66,2087,1/4,4,101.1
2026-08-19,stardust,スマスロ スーパーリオエース2,-19,1210,1/3,3,99.5
2026-08-19,stardust,戦国コレクション6,-96,2239,1/2,2,98.6
2026-08-19,stardust,ミスタージャグラー,-154,1747,1/4,4,97.1
2026-08-19,stardust,スマスロ北斗の拳 転生の章2,-175,2170,4/12,12,97.3
2026-08-19,stardust,スマスロモンキーターンV,-375,4253,1/5,5,97.1
2026-08-19,stardust,L戦国乙女5 業火を穿つ宿焔の双刃,-423,2155,2/6,6,93.5
2026-08-19,stardust,ファンキージャグラー２ＫＴ,-431,3065,2/8,8,95.3
2026-08-19,stardust,スマスロ ハナビ,-431,1382,0/4,4,89.6
2026-08-19,stardust,スマスロ 甲鉄城のカバネリ 海門決戦,-442,1386,2/6,6,89.4
2026-08-19,stardust,ジャグラーガールズSS,-476,1807,1/4,4,91.2
2026-08-19,stardust,スマスロ化物語,-479,974,0/2,2,83.6
2026-08-19,stardust,Lパチスロ炎炎ノ消防隊2,-529,3656,2/3,3,95.2
2026-08-19,stardust,スマスロ ストリートファイター6,-665,2065,1/4,4,89.3
2026-08-19,stardust,スマスロ ミリオンゴッド-神々の軌跡-,-731,2721,1/7,7,91
2026-08-19,stardust,スロット ワールドダイスター,-1269,2918,1/2,2,85.5
2026-08-19,stardust,スロット ソードアート・オンラインⅡ,-2423,3284,0/5,5,75.4
2026-08-19,stardust,スマスロ とある魔術の禁書目録2,-2838,4075,0/5,5,76.8
2026-08-19,stardust,スマスロBIRDIE WING-Golf Girls’ Story-,0,0,0/2,2,
