date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-06-20,espace_akiba,Lタクトオーパス デスティニー,3007,6896,1/2,2,114.5
2026-06-20,espace_akiba,スマスロ スーパーリオエース2,2491,7491,6/8,8,111.1
2026-06-20,espace_akiba,Lパチスロガールズ＆パンツァー 最終章,2176,4641,4/6,6,115.6
2026-06-20,espace_akiba,Lアズールレーン THE ANIMATION,1890,5694,5/10,10,111.1
2026-06-20,espace_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,1458,6875,5/10,10,107.1
2026-06-20,espace_akiba,ハッピージャグラーＶＩＩＩ,1411,7607,2/2,2,106.2
2026-06-20,espace_akiba,スマスロ ミリオンゴッド-神々の軌跡-,1308,7009,9/17,17,106.2
2026-06-20,espace_akiba,Lバンドリ！,1265,5600,7/10,10,107.5
2026-06-20,espace_akiba,A-SLOT+ ディスクアップ ULTRAREMIX,1064,7618,2/2,2,104.7
2026-06-20,espace_akiba,スマスロ北斗の拳 転生の章2,918,6110,3/6,6,105
2026-06-20,espace_akiba,Sister Quest,849,4962,2/3,3,105.7
2026-06-20,espace_akiba,回胴式遊技機グランベルム,776,6302,3/7,7,104.1
2026-06-20,espace_akiba,パチスロ戦国恋姫,729,4167,2/4,4,105.8
2026-06-20,espace_akiba,Lパチスロ マクロスフロンティア4,513,6403,2/3,3,102.7
2026-06-20,espace_akiba,この素晴らしい世界に祝福を！,474,6548,3/5,5,102.4
2026-06-20,espace_akiba,パチスロ　マクロスデルタ,450,8341,1/2,2,101.8
2026-06-20,espace_akiba,ゴーゴージャグラー３,420,6356,3/6,6,102.2
2026-06-20,espace_akiba,スロット ゾンビランドサガ,407,5434,2/4,4,102.5
2026-06-20,espace_akiba,ジャグラーガールズSS,380,7359,1/4,4,101.7
2026-06-20,espace_akiba,Lソードアート・オンライン,348,6899,5/9,9,101.7
2026-06-20,espace_akiba,Lスマスロとある魔術の禁書目録,337,6551,2/4,4,101.7
2026-06-20,espace_akiba,Lパチスロうみねこのなく頃に2,334,6625,4/7,7,101.7
2026-06-20,espace_akiba,真打 吉宗,311,6052,6/10,10,101.7
2026-06-20,espace_akiba,ネオアイムジャグラーEX,311,5874,3/5,5,101.8
2026-06-20,espace_akiba,スマスロ サンダーV,310,5282,1/2,2,102
2026-06-20,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,203,4567,19/50,50,101.5
2026-06-20,espace_akiba,L東京喰種,176,6366,13/28,28,100.9
2026-06-20,espace_akiba,スマスロ ハナビ,127,6067,2/4,4,100.7
2026-06-20,espace_akiba,スマスロ ギルティクラウン2,101,4116,1/2,2,100.8
2026-06-20,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,60,3916,2/5,5,100.5
2026-06-20,espace_akiba,ウルトラミラクルジャグラー,10,8244,1/2,2,100
2026-06-20,espace_akiba,マイジャグラーV,-36,5666,12/27,27,99.8
2026-06-20,espace_akiba,L戦国乙女5 業火を穿つ宿焔の双刃,-163,7989,13/30,30,99.3
2026-06-20,espace_akiba,A-SLOT+異世界かるてっとBT,-172,5753,1/4,4,99
2026-06-20,espace_akiba,スマスロモンキーターンV,-243,3966,3/11,11,98
2026-06-20,espace_akiba,スマスロ ビッグドリーム THE GOLDEN PUSHER,-330,5109,1/3,3,97.8
2026-06-20,espace_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,-389,6285,10/23,23,97.9
2026-06-20,espace_akiba,Lパチスロからくりサーカス,-564,5495,1/3,3,96.6
2026-06-20,espace_akiba,ファンキージャグラー２ＫＴ,-594,5466,1/9,9,96.4
2026-06-20,espace_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,-634,4245,1/6,6,95
2026-06-20,espace_akiba,スマスロ バイオハザードRE:3,-659,5455,1/3,3,96
2026-06-20,espace_akiba,スマスロ化物語,-839,5778,5/28,28,95.2
2026-06-20,espace_akiba,Lパチスロ炎炎ノ消防隊2,-978,6672,5/11,11,95.1
2026-06-20,espace_akiba,L無職転生～異世界行ったら本気だす～,-1011,6028,1/6,6,94.4
2026-06-20,espace_akiba,L ToLOVEるダークネス TRANCE ver.8.7,-1043,7243,9/30,30,95.2
2026-06-20,espace_akiba,Lアクダマドライブ,-1044,5633,0/2,2,93.8
2026-06-20,espace_akiba,スマスロBIRDIE WING-Golf Girls’ Story-,-1060,5279,1/3,3,93.3
2026-06-20,espace_akiba,プリズムナナ,-1136,6434,2/5,5,94.1
2026-06-20,espace_akiba,Lパチスロ革命機ヴァルヴレイヴ2,-1322,6737,2/10,10,93.5
2026-06-20,espace_akiba,スマスロ 攻殻機動隊,-1557,5503,1/7,7,90.6
2026-06-20,espace_akiba,スマスロ シャーマンキング,-1721,5660,1/3,3,89.9
2026-06-20,espace_akiba,パチスロ　戦姫絶唱シンフォギア　勇気の歌,-1790,4196,0/2,2,85.8
2026-06-20,espace_akiba,スロット ソードアート・オンラインⅡ,-1918,8855,7/17,17,92.8
2026-06-20,espace_akiba,スマスロ ゴッドイーター リザレクション,-2272,5186,0/4,4,85.4
2026-06-20,espace_akiba,スマスロとある科学の超電磁砲2,-2427,7411,0/3,3,89.1
2026-06-20,espace_akiba,L虚構推理,-2991,5845,0/5,5,82.9
2026-06-20,espace_akiba,スロット Re:ゼロから始める異世界生活 season2,-3397,6809,0/2,2,83.4
2026-06-20,espace_akiba,Lパチスロ革命機ヴァルヴレイヴ,-3785,7305,0/3,3,82.7
