model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
L ToLOVEるダークネス TRANCE ver.8.7,9,360,40,-0.2,35.3,127,360,100.0
Lパチスロ炎炎ノ消防隊2,6,270,40,-0.2,33.3,90,270,100.0
A-SLOT+異世界かるてっとBT,5,231,40,-0.2,39.8,92,231,100.0
Lパチスロ革命機ヴァルヴレイヴ2,5,200,40,-0.2,39.0,78,200,100.0
Lソードアート・オンライン,5,193,40,-0.2,32.1,62,193,100.0
Lアクダマドライブ,3,66,22,-0.2,30.3,20,66,100.0
Lマジカルハロウィン8,3,120,40,-0.2,35.0,42,120,100.0
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2,109,40,-0.2,34.9,38,109,100.0
回胴式遊技機グランベルム,2,80,40,-0.2,35.0,28,80,100.0
スマスロケロット5BT,2,80,40,-0.2,38.8,31,80,100.0
L不二子BT,2,44,22,-0.2,36.4,16,44,100.0
ゴーゴージャグラー３,2,80,40,-0.2,37.5,30,80,100.0
L邪神ちゃんドロップキック,6,116,18,-0.2,44.0,51,116,100.0
スマスロ とんでもスキルで異世界放浪メシ,3,54,18,-0.2,37.0,20,54,100.0
スマスロ化物語,5,456,40,-0.3,28.1,128,456,100.0
スマスロモンキーターンV,10,400,40,-0.3,31.5,126,400,100.0
スマスロ スーパーリオエース2,5,346,40,-0.3,24.0,83,346,100.0
スマスロ 攻殻機動隊,9,360,40,-0.3,31.7,114,360,100.0
L虚構推理,6,262,40,-0.3,25.2,66,262,100.0
スマスロ ゴッドイーター リザレクション,5,110,22,-0.3,35.5,39,110,100.0
Lタクトオーパス デスティニー,5,200,40,-0.3,34.5,69,200,100.0
スマスロとある科学の超電磁砲2,3,134,30,-0.3,27.6,37,134,100.0
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,4,160,40,-0.3,35.0,56,160,100.0
A-SLOT+ この素晴らしい世界に祝福を！,2,124,40,-0.3,33.1,41,124,100.0
スマスロBIRDIE WING-Golf Girls’ Story-,3,120,40,-0.3,25.8,31,120,100.0
L D4DJ Pachi-Slot Mix,2,80,40,-0.3,30.0,24,80,100.0
スロット ゾンビランドサガ,2,80,40,-0.3,28.8,23,80,99.9
アニマルスロット ドッチ,3,91,40,-0.3,33.0,30,91,100.0
スロット ワールドダイスター,8,144,18,-0.3,38.9,56,144,100.0
スマスロ やじきた道中記参る！,5,108,18,-0.3,35.2,38,108,100.0
L少女☆歌劇 レヴュースタァライト -The SLOT-,10,400,40,-0.4,24.2,97,400,100.0
Lアズールレーン THE ANIMATION,4,213,40,-0.4,27.2,58,213,100.0
Lラブ嬢3～Wご指名はいかがですか?～,3,186,40,-0.4,28.0,52,186,100.0
スマスロ バイオハザードRE:3,3,134,30,-0.4,25.4,34,134,100.0
L戦国乙女４　戦乱に閃く炯眼の軍師,5,155,31,-0.4,21.9,34,155,100.0
L無職転生～異世界行ったら本気だす～,2,80,40,-0.4,30.0,24,80,100.0
L ULTRAMAN 最終決戦,2,62,31,-0.4,29.0,18,62,100.0
ＳＬＯＴまどか前後編,2,62,31,-0.4,22.6,14,62,100.0
ローティス,2,44,22,-0.4,31.8,14,44,100.0
スマスロヨルムンガンド,2,44,22,-0.4,15.9,7,44,100.0
Lパチスロ彼女、お借りします,3,27,9,-0.4,25.9,7,27,100.0
パチスロ見える子ちゃん,2,18,9,-0.4,27.8,5,18,100.0
スマスロ ビッグドリーム THE GOLDEN PUSHER,5,110,22,-0.5,15.5,17,110,100.0
スマスロ新鬼武者3,2,44,22,-0.5,25.0,11,44,100.0
スマスロ ミリオンゴッド-神々の軌跡-,7,457,40,-0.6,23.4,107,457,100.0
スマート沖スロ ダークハイビ,2,80,40,-0.6,18.8,15,80,100.0
Lパチスロ喰霊-零-Re,7,70,10,-0.7,18.6,13,70,100.0
L戦国乙女5 業火を穿つ宿焔の双刃,37,1471,40,0.0,42.8,629,1471,100.0
スマスロ 甲鉄城のカバネリ 海門決戦,21,1119,40,-0.0,36.4,407,1119,100.0
A-SLOT+ ディスクアップ ULTRAREMIX,2,124,40,0.0,49.2,61,124,100.0
スマスロ リコリス・リコイル,30,270,9,0.0,41.5,112,270,100.0
