日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,L範馬刃牙,16,-732.8,25.0
ゾロ目/0,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,28,-338.6,25.0
ゾロ目/0,L青春ブタ野郎はバニーガール先輩の夢を見ない,8,-1845.0,25.0
ゾロ目/0,スマスロ バイオハザードRE:3,103,-788.6,23.3
ゾロ目/0,スマスロ秘宝伝,40,-661.3,22.5
ゾロ目/0,スマスロ新鬼武者3,113,-414.5,22.1
ゾロ目/0,スマスロ ストリートファイター6,33,-689.0,21.2
ゾロ目/0,スマスロヨルムンガンド,30,-610.9,20.0
曜:土,L ToLOVEるダークネス,14,1038.7,71.4
曜:土,この素晴らしい世界に祝福を！,87,326.0,57.5
曜:土,Lパチスロうみねこのなく頃に2,58,682.8,56.9
曜:土,スマスロ やじきた道中記参る！,29,449.3,55.2
曜:土,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,60,628.4,55.0
曜:土,A-SLOT+ ディスクアップ ULTRAREMIX,92,119.9,53.3
曜:土,マイジャグラーV,1290,357.3,52.8
曜:土,バーサスリヴァイズ,90,274.3,52.2
曜:土,スマスロ サンダーV,56,408.2,51.8
曜:土,ファンキージャグラー２ＫＴ,150,409.0,51.3
曜:土,回胴式遊技機グランベルム,8,682.0,50.0
曜:土,マジカルハロウィン　～Trick or Treat!～,58,499.8,50.0
曜:土,スロット ワールドダイスター,18,778.3,50.0
曜:土,Lパチスロ喰霊-零-Re,12,311.2,50.0
曜:土,ゴーゴージャグラー３,300,227.8,49.7
曜:土,パチスロ　ディスクアップ２,144,223.9,49.3
曜:土,L ＨＥＹ！エリートサラリーマン鏡,45,258.9,48.9
曜:土,パチスロ　甲鉄城のカバネリ,62,273.3,48.4
曜:土,スマスロ ゴブリンスレイヤーⅡ,29,-283.0,48.3
曜:土,沖ドキ！ＧＯＬＤ-30,270,-251.6,48.1
曜:土,Lソードアート・オンライン,121,575.7,47.1
曜:土,L戦国乙女5 業火を穿つ宿焔の双刃,121,530.2,47.1
曜:土,スロット ソードアート・オンラインⅡ,138,41.1,46.4
曜:土,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,137,549.5,46.0
曜:土,沖ドキ!ゴージャス 30Φ,90,-268.4,45.6
曜:土,A-SLOT+異世界かるてっとBT,44,94.9,45.5
曜:土,L南国育ち SPECIAL,20,198.5,45.0
曜:土,アレックス ブライト,110,-89.2,44.5
曜:土,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,234,541.3,44.4
曜:土,ミスタージャグラー,90,246.3,44.4
