日付タイプ,model,延べ台日,平均差枚,勝率%
曜:日,L東京喰種,86,-71.0,39.5
曜:日,スマスロケロット5BT,18,180.0,38.9
曜:日,スマスロ リコリス・リコイル,16,126.0,37.5
曜:日,スロット ソードアート・オンラインⅡ,55,-399.5,36.4
曜:日,スマスロ ストリートファイター6,28,343.7,35.7
曜:日,スロット ワールドダイスター,14,-567.1,35.7
曜:日,Lパチスロからくりサーカス2,66,89.4,34.8
曜:日,スマスロBIRDIE WING-Golf Girls’ Story-,18,-471.1,33.3
曜:日,戦国コレクション6,18,-744.8,33.3
曜:日,スマスロ化物語,18,-658.3,33.3
曜:日,スマスロ 攻殻機動隊,12,-257.2,33.3
曜:日,いざ！番長,33,-446.2,33.3
曜:日,スマスロ スーパーリオエース2,33,166.1,33.3
曜:日,真打 吉宗,55,-527.0,32.7
曜:日,ゴーゴージャグラー３,66,-158.5,31.8
曜:日,スマスロ サンダーV,22,-548.9,31.8
曜:日,L戦国乙女5 業火を穿つ宿焔の双刃,66,-137.3,31.8
曜:日,Lスマスロ北斗の拳,66,-532.5,30.3
曜:日,マイジャグラーV,176,-252.5,30.1
曜:日,ウルトラミラクルジャグラー,44,-418.9,29.5
曜:日,スマスロ ミリオンゴッド-神々の軌跡-,69,-999.2,27.5
曜:日,スマスロ ハナビ,42,-162.1,26.2
曜:日,スマスロ バイオハザードRE:3,27,466.2,25.9
曜:日,スマスロ とある魔術の禁書目録2,35,-1197.7,25.7
曜:日,スマスロヨルムンガンド,16,-276.2,25.0
曜:日,Lパチスロ炎炎ノ消防隊2,37,-472.5,24.3
曜:日,ハッピージャグラーＶＩＩＩ,33,-488.1,24.2
曜:日,ミスタージャグラー,44,-214.2,22.7
曜:日,ジャグラーガールズSS,44,-581.7,20.5
曜:日,Lタクトオーパス デスティニー,8,229.0,12.5
曜:日,スマスロ ビッグドリーム THE GOLDEN PUSHER,16,-1268.8,6.2
曜:月,ネオアイムジャグラーEX,55,-3.9,47.3
曜:月,真打 吉宗,55,19.8,45.5
曜:月,スマスロ ハナビ,41,-43.0,43.9
曜:月,スマスロ やじきた道中記参る！,21,96.6,42.9
曜:月,Lパチスロからくりサーカス2,66,268.2,42.4
曜:月,マイジャグラーV,176,-58.0,42.0
曜:月,L東京喰種,85,-420.7,41.2
曜:月,ハッピージャグラーＶＩＩＩ,33,38.5,39.4
曜:月,ミスタージャグラー,44,67.1,38.6
曜:月,ウルトラミラクルジャグラー,44,19.5,38.6
曜:月,スロット ソードアート・オンラインⅡ,55,-254.8,38.2
曜:月,ゴーゴージャグラー３,66,-100.6,37.9
曜:月,Lスマスロ北斗の拳,66,123.5,37.9
曜:月,L戦国乙女5 業火を穿つ宿焔の双刃,66,174.2,37.9
曜:月,Lパチスロ炎炎ノ消防隊2,37,-130.0,37.8
曜:月,スマスロ サンダーV,22,-227.9,36.4
曜:月,スマスロ スーパーリオエース2,33,260.9,36.4
曜:月,スロット ワールドダイスター,14,-596.9,35.7
曜:月,スマスロモンキーターンV,55,-236.8,34.5
曜:月,ジャグラーガールズSS,44,118.4,34.1
曜:月,スマスロ 甲鉄城のカバネリ 海門決戦,71,-134.0,33.8
曜:月,いざ！番長,33,85.0,33.3
曜:月,スマスロ北斗の拳 転生の章2,126,316.0,33.3
曜:月,スマスロ ミリオンゴッド-神々の軌跡-,69,-331.2,33.3
曜:月,スマスロ リコリス・リコイル,24,-687.0,33.3
曜:月,ファンキージャグラー２ＫＴ,88,-140.5,31.8
曜:月,スマスロ化物語,16,-449.8,31.2
曜:月,スマスロBIRDIE WING-Golf Girls’ Story-,16,-271.9,31.2
曜:月,スマスロケロット5BT,16,-330.8,31.2
曜:月,Lパチスロ彼女、お借りします,15,-453.0,26.7
曜:月,スマスロ 攻殻機動隊,12,-717.5,25.0
曜:月,Lタクトオーパス デスティニー,8,641.5,25.0
曜:月,戦国コレクション6,16,-985.5,25.0
曜:月,スマスロ とある魔術の禁書目録2,35,-963.9,22.9
曜:月,スマスロ バイオハザードRE:3,24,-172.4,20.8
曜:月,スマスロ ストリートファイター6,28,-628.3,14.3
曜:月,スマスロヨルムンガンド,16,-164.8,12.5
曜:月,スマスロ ビッグドリーム THE GOLDEN PUSHER,16,-21.2,6.2
曜:木,戦国コレクション6,18,288.6,50.0
曜:木,ジャグラーガールズSS,48,110.4,45.8
曜:木,スマスロ とある魔術の禁書目録2,40,475.0,45.0
曜:木,スマスロ化物語,18,0.4,44.4
曜:木,ウルトラミラクルジャグラー,48,33.8,43.8
曜:木,スマスロ ハナビ,45,-26.5,42.2
曜:木,ゴーゴージャグラー３,72,-49.8,41.7
曜:木,ハッピージャグラーＶＩＩＩ,36,-72.6,41.7
曜:木,スマスロ サンダーV,24,-160.5,41.7
曜:木,Lパチスロ彼女、お借りします,15,-886.0,40.0
曜:木,ファンキージャグラー２ＫＴ,96,-134.8,39.6
曜:木,Lスマスロ北斗の拳,72,25.7,38.9
曜:木,Lパチスロからくりサーカス2,72,346.0,38.9
曜:木,スマスロケロット5BT,18,-466.6,38.9
曜:木,スマスロ北斗の拳 転生の章2,138,199.9,37.7
曜:木,Lパチスロ炎炎ノ消防隊2,40,262.5,37.5
曜:木,ミスタージャグラー,48,-138.5,37.5
曜:木,L東京喰種,93,-174.3,35.5
曜:木,ネオアイムジャグラーEX,60,60.9,35.0
曜:木,マイジャグラーV,192,-180.2,34.9
曜:木,スマスロ ストリートファイター6,32,-85.1,34.4
曜:木,スマスロBIRDIE WING-Golf Girls’ Story-,18,219.4,33.3
曜:木,いざ！番長,36,-223.7,33.3
曜:木,スマスロ 甲鉄城のカバネリ 海門決戦,77,-89.7,31.2
曜:木,スマスロ スーパーリオエース2,36,-289.8,27.8
曜:木,スマスロモンキーターンV,60,-393.3,26.7
曜:木,L戦国乙女5 業火を穿つ宿焔の双刃,72,-461.0,26.4
曜:木,スマスロ ビッグドリーム THE GOLDEN PUSHER,16,205.8,25.0
曜:木,Lタクトオーパス デスティニー,8,-59.5,25.0
曜:木,スマスロ 攻殻機動隊,12,-43.0,25.0
曜:木,スロット ワールドダイスター,16,-441.1,25.0
曜:木,スマスロ リコリス・リコイル,24,-765.7,25.0
曜:木,スロット ソードアート・オンラインⅡ,60,-1172.2,23.3
曜:木,スマスロ ミリオンゴッド-神々の軌跡-,76,-343.3,22.4
曜:木,スマスロ バイオハザードRE:3,27,-206.1,22.2
曜:木,真打 吉宗,60,-840.0,21.7
曜:木,スマスロ やじきた道中記参る！,24,-775.1,20.8
曜:木,スマスロヨルムンガンド,16,-291.2,6.2
曜:水,スマスロ 攻殻機動隊,9,1613.0,55.6
曜:水,ネオアイムジャグラーEX,55,110.4,50.9
曜:水,ウルトラミラクルジャグラー,44,-14.2,50.0
曜:水,スマスロ やじきた道中記参る！,24,693.6,45.8
曜:水,スマスロ リコリス・リコイル,24,164.3,45.8
曜:水,スマスロ 甲鉄城のカバネリ 海門決戦,69,59.9,44.9
曜:水,戦国コレクション6,16,-511.4,43.8
曜:水,スマスロケロット5BT,16,-68.4,43.8
曜:水,スマスロ とある魔術の禁書目録2,40,91.5,42.5
曜:水,L戦国乙女5 業火を穿つ宿焔の双刃,66,8.1,42.4
曜:水,スマスロモンキーターンV,55,109.5,41.8
曜:水,真打 吉宗,55,391.9,41.8
曜:水,Lパチスロ炎炎ノ消防隊2,36,-433.5,41.7
曜:水,スマスロ ストリートファイター6,32,216.0,40.6
曜:水,マイジャグラーV,176,-61.9,37.5
曜:水,L東京喰種,85,215.3,36.5
曜:水,いざ！番長,33,341.5,36.4
曜:水,ジャグラーガールズSS,44,-72.9,36.4
曜:水,スマスロ サンダーV,22,28.1,36.4
曜:水,Lスマスロ北斗の拳,66,-110.7,36.4
曜:水,スマスロ バイオハザードRE:3,24,-198.4,33.3
曜:水,スマスロ北斗の拳 転生の章2,126,-225.3,32.5
曜:水,スマスロ化物語,16,-244.1,31.2
曜:水,スマスロBIRDIE WING-Golf Girls’ Story-,16,474.2,31.2
曜:水,ファンキージャグラー２ＫＴ,88,-247.8,30.7
曜:水,ゴーゴージャグラー３,66,-99.6,30.3
曜:水,ハッピージャグラーＶＩＩＩ,33,-211.3,30.3
曜:水,ミスタージャグラー,44,-125.3,29.5
曜:水,Lパチスロからくりサーカス2,66,-163.0,27.3
曜:水,スマスロ スーパーリオエース2,33,-177.5,27.3
曜:水,スロット ソードアート・オンラインⅡ,55,-552.9,27.3
曜:水,スロット ワールドダイスター,16,-1071.1,25.0
曜:水,スマスロ ハナビ,41,-174.6,24.4
曜:水,スマスロ ミリオンゴッド-神々の軌跡-,71,-1118.7,22.5
曜:水,Lパチスロ彼女、お借りします,15,-86.7,20.0
曜:水,スマスロヨルムンガンド,12,-52.3,8.3
曜:水,スマスロ ビッグドリーム THE GOLDEN PUSHER,12,-1124.0,8.3
曜:火,スマスロ サンダーV,22,487.3,59.1
曜:火,スマスロ とある魔術の禁書目録2,40,888.2,55.0
曜:火,Lパチスロ彼女、お借りします,15,724.7,53.3
曜:火,ハッピージャグラーＶＩＩＩ,33,269.0,51.5
曜:火,ファンキージャグラー２ＫＴ,88,229.6,51.1
曜:火,スマスロ リコリス・リコイル,24,1214.3,50.0
曜:火,スマスロ ハナビ,41,67.3,43.9
曜:火,マイジャグラーV,176,176.8,43.8
曜:火,スマスロ やじきた道中記参る！,24,-347.0,41.7
曜:火,Lパチスロからくりサーカス2,66,277.6,40.9
曜:火,スマスロ 甲鉄城のカバネリ 海門決戦,69,326.4,40.6
曜:火,スロット ソードアート・オンラインⅡ,55,560.7,40.0
曜:火,Lパチスロ炎炎ノ消防隊2,36,-192.5,38.9
曜:火,L戦国乙女5 業火を穿つ宿焔の双刃,66,30.5,37.9
曜:火,ゴーゴージャグラー３,66,-13.0,37.9
曜:火,Lスマスロ北斗の拳,66,40.8,37.9
曜:火,戦国コレクション6,16,227.9,37.5
曜:火,スロット ワールドダイスター,16,-930.6,37.5
曜:火,ミスタージャグラー,44,41.8,36.4
曜:火,ウルトラミラクルジャグラー,44,-41.5,36.4
曜:火,ネオアイムジャグラーEX,55,-126.7,34.5
曜:火,スマスロモンキーターンV,55,110.9,34.5
曜:火,スマスロ ビッグドリーム THE GOLDEN PUSHER,12,261.3,33.3
曜:火,スマスロ バイオハザードRE:3,24,266.1,33.3
曜:火,L東京喰種,85,47.8,32.9
曜:火,スマスロケロット5BT,16,-198.6,31.2
曜:火,スマスロ北斗の拳 転生の章2,126,-68.9,31.0
曜:火,スマスロ ミリオンゴッド-神々の軌跡-,71,-465.8,29.6
曜:火,ジャグラーガールズSS,44,-199.7,27.3
曜:火,真打 吉宗,55,-854.2,25.5
曜:火,スマスロ化物語,16,-645.6,25.0
曜:火,スマスロ ストリートファイター6,32,-1443.9,25.0
曜:火,スマスロ 攻殻機動隊,9,-328.3,22.2
曜:火,スマスロ スーパーリオエース2,33,53.0,21.2
曜:火,スマスロBIRDIE WING-Golf Girls’ Story-,16,-196.4,18.8
曜:火,スマスロヨルムンガンド,12,-120.3,16.7
曜:火,いざ！番長,33,-977.2,12.1
曜:金,ハッピージャグラーＶＩＩＩ,33,99.3,57.6
曜:金,Lスマスロ北斗の拳,66,302.3,50.0
曜:金,ウルトラミラクルジャグラー,44,168.3,50.0
曜:金,L東京喰種,86,902.9,46.5
曜:金,ネオアイムジャグラーEX,55,36.7,45.5
曜:金,スマスロ ハナビ,42,114.9,45.2
曜:金,Lパチスロ炎炎ノ消防隊2,37,-218.3,43.2
曜:金,ジャグラーガールズSS,44,-24.2,40.9
曜:金,スマスロ北斗の拳 転生の章2,128,551.4,40.6
曜:金,スロット ソードアート・オンラインⅡ,55,-122.5,40.0
曜:金,スマスロ とある魔術の禁書目録2,35,-91.7,40.0
曜:金,L戦国乙女5 業火を穿つ宿焔の双刃,66,326.1,39.4
曜:金,スマスロBIRDIE WING-Golf Girls’ Story-,18,482.3,38.9
曜:金,ファンキージャグラー２ＫＴ,88,-220.1,38.6
曜:金,ゴーゴージャグラー３,66,-62.3,37.9
曜:金,マイジャグラーV,176,-56.0,36.9
曜:金,ミスタージャグラー,44,105.3,36.4
曜:金,スマスロ 甲鉄城のカバネリ 海門決戦,72,128.2,36.1
曜:金,いざ！番長,33,19.2,33.3
曜:金,スマスロ リコリス・リコイル,16,71.5,31.2
曜:金,スマスロ スーパーリオエース2,33,-13.5,30.3
