daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
410,,73,139.0,34.2,12059,-555,0.206
480,,73,-234.7,39.7,3670,-617,0.199
440,,73,-198.3,37.0,10268,-1527,0.185
390,,73,-105.9,35.6,3032,-735,0.178
400,,73,-184.3,35.6,10104,-259,0.178
490,,73,-309.4,35.6,11999,-2629,0.178
370,,73,-47.0,31.5,3833,-316,0.158
500,スマスロモンキーターンV,73,-51.5,31.5,7947,-694,0.158
420,,73,-483.2,30.1,5449,-2461,0.151
460,,73,-477.6,24.7,14227,-1927,0.123
430,,73,-563.2,20.5,13338,-3384,0.103
