daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
4055,,197,80.4,42.6,11702,,0.233
4139,,201,65.6,43.3,11416,1903,0.233
2141,L戦国乙女5 業火を穿つ宿焔の双刃,200,118.2,40.5,12921,0,0.232
4082,L東京喰種,197,43.0,44.2,11398,,0.232
4106,パチスロ戦国恋姫,202,74.8,42.6,5700,,0.232
2078,,200,133.5,39.5,10026,8223,0.231
2072,Lスマスロとある魔術の禁書目録,200,120.3,40.0,8304,503,0.23
3034,,199,45.3,43.7,6027,3894,0.23
2014,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,200,127.4,39.5,14315,,0.229
2015,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,200,122.3,39.5,9907,,0.228
2080,,204,69.8,42.2,13683,-5820,0.228
3002,,200,60.7,42.5,10606,5607,0.228
3132,バーニングエクスプレス,200,43.4,43.5,6495,307,0.228
4009,スマスロ 甲鉄城のカバネリ 海門決戦,202,62.1,42.6,11703,,0.228
4172,L東京喰種,197,57.4,42.6,18709,,0.228
2041,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,128.2,38.9,10032,2120,0.227
4034,Lパチスロ閃乱カグラ2 SHINOVI MASTER,199,173.3,36.7,14031,,0.227
4075,スマスロ 甲鉄城のカバネリ 海門決戦,197,34.2,43.7,10031,1601,0.227
2040,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,204,89.4,40.7,10238,1009,0.226
2103,Lソードアート・オンライン,198,146.7,37.9,8786,,0.226
3041,,201,48.2,42.8,4415,2804,0.226
4109,,198,75.3,41.4,6301,2805,0.226
4099,,200,120.7,39.0,11198,,0.225
3093,Lパチスロ炎炎ノ消防隊2,201,161.4,36.8,12999,6502,0.224
3095,Lパチスロ炎炎ノ消防隊2,197,124.2,38.6,10593,,0.224
3097,Lバンドリ！,198,47.1,42.4,10935,10935,0.224
4095,,202,155.2,37.1,7103,2512,0.224
4154,スマスロモンキーターンV,195,158.2,36.9,10138,,0.224
2038,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,196,128.1,38.3,10203,,0.223
3051,,198,42.8,42.4,11698,402,0.223
3080,L ToLOVEるダークネス TRANCE ver.8.7,202,-21.7,44.6,14048,3393,0.223
4050,,204,-137.0,44.6,4418,1906,0.223
3158,L ToLOVEるダークネス TRANCE ver.8.7,198,78.4,40.4,14838,,0.222
4159,L東京喰種,199,83.1,40.2,12192,2801,0.222
2144,L戦国乙女5 業火を穿つ宿焔の双刃,198,106.7,38.9,12134,,0.221
2009,,198,-11.2,43.9,11325,4908,0.22
2077,,197,98.4,39.1,13331,3006,0.22
4053,,198,-73.0,43.9,9603,,0.22
4044,パチスロ幼女戦記,197,2.6,43.7,6318,,0.219
4112,,200,77.0,40.0,7609,507,0.219
4153,スマスロモンキーターンV,200,165.6,35.5,9781,,0.219
3153,L ToLOVEるダークネス TRANCE ver.8.7,197,47.9,41.1,10881,,0.218
3111,,199,13.2,42.7,4003,,0.217
3112,,200,69.3,40.0,3917,,0.217
2052,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,41.6,41.2,8827,3199,0.216
