日付タイプ,model,延べ台日,平均差枚,勝率%
曜:土,ゴーゴージャグラー３,210,373.4,53.3
曜:土,ネオアイムジャグラーEX,390,369.8,51.5
曜:土,キングハナハナ-30,150,329.8,51.3
曜:土,ウルトラミラクルジャグラー,60,256.7,50.0
曜:土,スマスロ シャーマンキング,18,10.1,50.0
曜:土,スロット ワールドダイスター,8,-480.8,50.0
曜:土,マイジャグラーV,720,167.3,47.5
曜:土,スマスロ 沖ドキ!DUO アンコール,53,501.0,47.2
曜:土,ジャグラーガールズSS,75,185.4,46.7
曜:土,Lアズールレーン THE ANIMATION,41,1079.0,46.3
曜:土,L戦国乙女４　戦乱に閃く炯眼の軍師,53,210.8,45.3
曜:土,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,53,567.2,45.3
曜:土,スマスロモンキーターンV,120,604.2,45.0
曜:土,スマスロ 甲鉄城のカバネリ 海門決戦,208,458.0,44.7
曜:土,いざ！番長,45,365.3,44.4
曜:土,スマスロ モンスターハンターライズ,45,813.9,44.4
曜:土,L ToLOVEるダークネス TRANCE ver.8.7,45,215.5,44.4
曜:土,スマスロ ハナビ,52,-133.7,42.3
曜:土,真打 吉宗,90,-220.5,42.2
曜:土,スマスロ北斗の拳 転生の章2,189,348.0,41.8
曜:土,Lパチスロからくりサーカス2,72,124.9,41.7
曜:土,ハッピージャグラーＶＩＩＩ,62,69.8,40.3
曜:土,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,45,-157.9,40.0
曜:土,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,90,405.6,40.0
曜:土,スマスロ 攻殻機動隊,60,570.8,40.0
曜:土,沖ドキ!ゴージャス 30Φ,105,-669.6,40.0
曜:土,チバリヨ2,45,78.1,40.0
曜:土,スマート沖スロ ニューキングハナハナV,73,-244.9,39.7
曜:土,Lスマスロ北斗の拳,96,201.0,39.6
曜:土,沖ドキ！ＧＯＬＤ-30,240,-613.7,39.6
曜:土,Lパチスロ炎炎ノ消防隊2,90,95.9,38.9
曜:土,沖ドキ！BLACK,60,-739.5,38.3
曜:土,沖ドキ！ＧＯＬＤ,21,-262.9,38.1
曜:土,ニューキングハナハナV‐30,45,-178.7,37.8
曜:土,戦国コレクション6,24,-1054.4,37.5
曜:土,スマスロ やじきた道中記参る！,16,592.8,37.5
曜:土,L東京喰種,262,-167.2,37.4
曜:土,スマスロ化物語,73,62.2,37.0
曜:土,スロット ソードアート・オンラインⅡ,92,-433.3,37.0
曜:土,Lラブ嬢3～Wご指名はいかがですか?～,30,-514.3,36.7
曜:土,スマスロ ゴッドイーター リザレクション,45,647.4,35.6
曜:土,スマスロ スーパーリオエース2,59,176.2,35.6
曜:土,スマスロ ビッグドリーム THE GOLDEN PUSHER,29,-1634.0,34.5
曜:土,スマスロ スーパーブラックジャック,30,63.9,33.3
曜:土,スマスロ バイオハザードRE:3,63,-346.5,33.3
曜:土,Lパチスロからくりサーカス,21,-644.1,33.3
曜:土,プリズムナナ,12,-140.7,33.3
曜:土,スマスロ 東京リベンジャーズ,45,-13.2,33.3
曜:土,スマスロBIRDIE WING-Golf Girls’ Story-,12,265.5,33.3
曜:土,L戦国乙女5 業火を穿つ宿焔の双刃,96,-673.2,31.2
曜:土,L主役は銭形5,33,-6.6,30.3
曜:土,スマスロヨルムンガンド,14,-90.1,28.6
曜:土,スマスロ ミリオンゴッド-神々の軌跡-,150,-822.9,28.0
曜:土,Lパチスロうみねこのなく頃に2,22,-184.7,27.3
曜:土,Lパチスロ革命機ヴァルヴレイヴ2,52,-1100.6,26.9
曜:土,ミスタージャグラー,45,-218.7,26.7
曜:土,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,20,-645.6,25.0
曜:土,ローティス,8,-811.0,25.0
曜:土,スマスロ ストリートファイター6,16,-1160.0,25.0
曜:土,Lパチスロ かぐや様は告らせたい,28,-1206.1,21.4
曜:土,L南国育ち SPECIAL,24,-507.9,20.8
曜:土,Lソードアート・オンライン,10,-645.0,20.0
曜:土,スマスロ新鬼武者3,18,-986.1,11.1
曜:土,スマスロとある科学の超電磁砲2,12,-587.8,8.3
曜:日,ミスタージャグラー,42,793.5,69.0
曜:日,スマスロ スーパーブラックジャック,28,1254.0,64.3
曜:日,ジャグラーガールズSS,70,406.7,55.7
曜:日,ゴーゴージャグラー３,196,529.1,55.1
曜:日,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,20,1425.1,55.0
曜:日,L南国育ち SPECIAL,21,565.9,52.4
曜:日,ネオアイムジャグラーEX,364,300.4,51.9
曜:日,スマスロ 東京リベンジャーズ,42,816.1,50.0
