daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2143,,191,-10.3,39.8,4313,104,0.199
3195,A-SLOT+異世界かるてっとBT,138,-182.9,39.9,10801,-3999,0.199
2074,,191,13.2,38.7,5020,-1399,0.197
3072,,191,118.1,33.5,15573,-93,0.197
3132,,191,35.6,37.7,9715,-92,0.197
2022,,191,21.0,38.2,4421,-1094,0.196
2173,,191,-517.6,39.3,10243,2318,0.196
3094,,191,-3.8,39.3,9519,-993,0.196
3192,L不二子BT,138,-228.4,39.1,5996,1892,0.196
2169,,191,38.5,37.2,4412,906,0.195
3042,,191,35.8,37.2,8675,608,0.195
2154,,191,-353.4,38.7,14034,-3101,0.194
3130,,191,-188.9,38.7,7209,-1191,0.194
3021,,190,54.4,35.8,8299,1608,0.193
3145,,191,103.1,33.5,10943,-598,0.193
2031,スマスロ サンダーV,190,-1.8,38.4,3713,905,0.192
2156,,191,-354.8,38.2,13772,1210,0.191
3005,,191,-190.0,38.2,13061,-1995,0.191
3118,,191,-27.7,38.2,11996,2209,0.191
3092,,191,38.0,36.1,12294,-293,0.19
2050,,191,-98.8,37.7,4601,-1090,0.188
3028,,191,-139.5,37.7,7998,-1099,0.188
3001,,190,-323.2,37.4,11782,-2992,0.187
2137,,191,-574.5,37.2,5683,-4191,0.186
2155,,191,-386.6,37.2,17998,405,0.186
2170,,191,-53.6,37.2,4801,-1499,0.186
2176,,191,-562.5,37.2,5720,610,0.186
3044,,191,42.5,35.1,9480,-590,0.186
3112,,191,-228.2,37.2,11371,4497,0.186
2036,A-SLOT+ ディスクアップ ULTRAREMIX,191,-32.4,36.6,6942,204,0.183
2047,,191,-195.8,36.6,8422,-6618,0.183
3017,,191,82.5,32.5,9515,1504,0.183
3038,,191,-206.0,36.6,13236,2115,0.183
3085,,191,-257.0,36.6,18355,-295,0.183
3086,,191,-58.7,36.6,10808,106,0.183
3152,,191,62.8,33.5,14590,-491,0.183
2148,,191,5.7,36.1,4700,607,0.182
2037,,191,-133.2,36.1,11167,-1492,0.181
2045,,191,-81.3,36.1,10736,-690,0.181
2179,,191,-30.2,36.1,3510,-1196,0.181
3035,,191,-293.4,36.1,9041,-199,0.181
3037,,191,-11.5,36.1,11397,4790,0.181
3088,,191,-58.0,36.1,6501,-2305,0.181
3150,,138,-79,36.2,9126,5488,0.181
3169,スマスロ ビッグドリーム THE GOLDEN PUSHER,190,89.1,31.6,13590,2697,0.18
3111,,190,-252.6,35.8,9901,1616,0.179
2042,,191,-141.7,35.6,15903,-394,0.178
2043,,191,-68.0,35.6,14310,-799,0.178
2180,,191,-54.1,35.6,6403,102,0.178
3018,,191,-26.9,35.6,9710,-490,0.178
3065,,191,-61.6,35.6,6690,-691,0.178
3114,,191,-10.2,35.6,14216,-4390,0.178
3183,L邪神ちゃんドロップキック,191,-85.5,35.6,12297,3507,0.178
2072,,191,17.5,34.6,3919,309,0.177
3063,,191,-111.5,35.1,18480,-1893,0.175
3166,Lパチスロからくりサーカス,191,60.7,31.9,11013,4405,0.175
2044,,191,14.1,34.0,15120,-2996,0.174
2166,,191,-34.5,34.6,4589,-1493,0.173
3083,,191,-201.6,34.6,8537,-1199,0.173
3110,,191,-97.7,34.6,9126,-791,0.173
3135,,191,-130.6,34.6,16733,0,0.173
3031,,190,75.6,30.5,14782,-1195,0.172
3125,,191,18.2,33.5,12025,2811,0.172
2181,,190,-115.2,34.2,3710,109,0.171
3091,,190,-217.9,34.2,8180,-1096,0.171
3131,,190,-66.5,34.2,13590,-1197,0.171
3009,,191,-57.0,34.0,10341,-2795,0.17
3066,,191,-41.4,34.0,6595,3309,0.17
3146,,191,-95.2,34.0,9126,-597,0.17
3160,,191,-27.9,34.0,11005,2321,0.17
3175,,191,-120.9,34.0,7891,-298,0.17
3194,SHAKE BONUS TRIGGER,138,-328.1,34.1,7008,1908,0.17
3119,,191,5.8,33.5,8828,-1094,0.169
3136,,191,90.8,29.3,16877,-3882,0.169
3137,,191,26.5,32.5,12007,-491,0.169
3149,,191,-67.3,33.5,7708,5493,0.168
3179,アニマルスロット ドッチ,191,-98.8,33.5,8419,705,0.168
3165,,191,58.8,30.4,13021,-997,0.167
3191,SHAKE BONUS TRIGGER,138,-126.8,33.3,8485,-4585,0.167
3101,,190,-74.7,33.2,16205,-1095,0.166
3161,,190,-161.8,33.2,11286,-491,0.166
2033,A-SLOT+異世界かるてっとBT,191,-118.1,33.0,4201,-498,0.165
3121,,190,6.4,32.6,13020,-496,0.165
3134,,191,-403.7,33.0,13509,-2502,0.165
3156,,191,-274.6,33.0,9712,-90,0.165
3186,スマスロ真・北斗無双,191,-69.9,33.0,12114,-2190,0.165
3190,アニマルスロット ドッチ,133,-61.3,33.1,12169,-791,0.165
2014,,191,-17.8,32.5,4699,-1098,0.162
2048,スマスロケロット5BT,191,-45.9,32.5,5319,-1898,0.162
3036,,191,-297.4,32.5,11932,-1793,0.162
3053,,191,-193.9,32.5,13510,-309,0.162
3184,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,191,-352.2,32.5,10031,110,0.162
3153,,191,-44.7,31.9,10809,707,0.16
3155,,191,-485.4,31.9,7710,5725,0.16
3174,スマスロ新鬼武者3,138,91.0,27.5,14219,-795,0.16
3076,,191,39.7,29.8,12198,-592,0.159
3151,,190,-270.7,31.6,7711,-794,0.158
3025,,191,-17.8,31.4,12769,-93,0.157
3060,,191,-129.1,31.4,11324,-997,0.157
3068,,191,-63.3,31.4,12280,-692,0.157
3171,スマスロ鉄拳6,190,58.4,28.4,8532,-799,0.157
3074,,186,-185.3,31.2,8618,-999,0.156
3061,,190,-241.2,31.1,15705,-1099,0.155
3078,,191,14.0,30.4,18829,3802,0.155
3081,,190,-325.4,31.1,8591,-1391,0.155
3084,,191,-280.9,30.9,7678,5919,0.154
3087,,191,-223.5,30.9,9132,3119,0.154
3103,,191,-272.8,30.9,11539,-692,0.154
3176,,191,-257.4,30.9,8003,3202,0.154
3189,吉宗,186,-99.0,30.6,12707,-97,0.153
3047,,191,-10.3,30.4,10605,2112,0.152
3064,,191,-213.6,30.4,12681,-391,0.152
3077,,191,-0.2,30.4,16997,-1596,0.152
3040,,186,-349.0,30.1,13510,317,0.151
2030,L不二子BT,191,-151.4,29.8,3797,-98,0.149
3008,,191,-460.9,29.8,8891,-894,0.149
3062,,191,-766.9,29.8,18120,-796,0.149
3073,,191,-282.5,29.8,10545,5606,0.149
3154,,191,-133.8,29.8,10524,-591,0.149
3185,Lマジカルハロウィン8,191,-203.2,29.8,6782,-1596,0.149
3075,,186,-85.1,29.6,11779,-893,0.148
3003,,191,-249.2,29.3,11669,5906,0.147
3048,,191,-24.4,29.3,8186,-1590,0.147
3158,,191,43.1,27.2,10592,-1597,0.147
3178,Lバンドリ！,191,-29.7,29.3,10104,-398,0.147
3141,,190,-22.7,28.9,11172,0,0.145
3167,吉宗,191,1.7,28.3,15256,-2991,0.142
3070,,191,-104.4,28.3,12980,0,0.141
3168,Lダーリン・イン・ザ・フランキス,191,-15.8,28.3,9813,-197,0.141
3170,スマスロ真・北斗無双,190,21.3,26.8,6895,-1292,0.14
2038,,191,-429.9,27.7,17439,610,0.139
3033,,191,-272.5,27.7,8231,0,0.139
3143,,191,-123.3,27.7,12933,0,0.139
3162,,191,-53.1,27.7,8224,-97,0.139
3193,L不二子BT,138,-460.3,27.5,12769,6631,0.138
3054,,191,-638.1,27.2,12891,-192,0.136
3096,,191,-172.5,27.2,7202,-1107,0.136
3138,,191,-408.5,27.2,14126,209,0.136
3055,,191,-545.6,26.7,10944,-993,0.134
3057,,191,-540.7,26.7,10633,-192,0.134
3058,,191,-737.0,26.2,13006,2704,0.131
3142,,191,-87.4,26.2,12933,0,0.131
3059,,191,-701.3,25.7,15213,-999,0.128
3157,,191,-75.5,25.7,9197,-1296,0.128
3039,,191,-308.2,25.1,14321,-91,0.126
3071,,190,-164.8,25.3,13877,-396,0.126
3181,L ULTRAMAN 最終決戦,190,-273.4,25.3,10810,-893,0.126
3188,Lタクトオーパス デスティニー,186,-125.4,24.7,13772,-1795,0.124
3034,,191,-76.5,24.6,12151,-99,0.123
3069,,191,-129.3,24.6,9392,-1195,0.123
3159,,191,-39.9,24.6,8596,-290,0.123
3030,,191,-109.4,24.1,12526,-590,0.12
3056,,191,-570.1,24.1,15993,-798,0.12
3173,Lパチスロ かぐや様は告らせたい,138,-77.3,23.9,7209,206,0.12
