daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
493,スマスロモンキーターンV,26,1936.3,96.2,9459,,0.965
45,Lパチスロ革命機ヴァルヴレイヴ2,28,3245,92.9,10000,,0.964
3,Lパチスロからくりサーカス2,25,2742.2,92.0,13541,62,0.96
524,Lバンドリ！,28,1794,100.0,7687,,0.949
494,スマスロモンキーターンV,30,1919.5,93.3,10459,,0.947
484,,24,1778.7,100.0,8219,271,0.945
536,Lパチスロ炎炎ノ消防隊2,28,1780.2,100.0,7334,672,0.945
497,,22,2593.2,86.4,9459,,0.932
519,,24,1798.0,95.8,5750,1146,0.929
552,Lバンドリ！,34,2390,85.3,10125,4542,0.926
518,,28,2818.4,82.1,14583,,0.911
549,スマスロ化物語,22,1820.9,90.9,5563,,0.91
419,パチスロ　甲鉄城のカバネリ,33,1682.8,97.0,6687,4097,0.906
476,L東京喰種,21,1717.3,95.2,7344,,0.906
418,パチスロ　甲鉄城のカバネリ,29,1677.1,96.6,5938,,0.902
43,Lパチスロ革命機ヴァルヴレイヴ2,30,1794.0,90.0,6000,0,0.898
441,L戦国乙女４　戦乱に閃く炯眼の軍師,28,1733.5,92.9,7562,0,0.898
522,アニマルスロット ドッチ,27,1528.9,100.0,7562,,0.882
435,,21,1478.8,100.0,6000,,0.87
429,A-SLOT+ ディスクアップ ULTRAREMIX,41,1454.8,100.0,4459,2437,0.864
445,,28,1426.1,100.0,4521,,0.857
426,SHAKE BONUS TRIGGER,26,1416.7,100.0,3514,,0.854
517,,21,1669.9,85.7,7156,57,0.846
535,L ToLOVEるダークネス TRANCE ver.8.7,22,1445.2,95.5,4417,3806,0.839
416,パチスロ　甲鉄城のカバネリ,39,1399.7,97.4,3542,,0.837
457,ゴーゴージャグラー３,25,1246.4,100.0,4292,,0.812
412,回胴式遊技機グランベルム,31,1433.0,90.3,4750,,0.81
407,ファンキージャグラー２ＫＴ,29,1305.6,96.6,3986,,0.809
411,回胴式遊技機グランベルム,26,1449.0,88.5,6812,,0.805
428,スマスロ タコスロ,22,1664.9,77.3,18819,510,0.803
442,,26,1552.3,80.8,10750,,0.792
447,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,26,1102.0,100.0,3583,,0.776
414,この素晴らしい世界に祝福を！,30,1094.3,100.0,6219,,0.774
455,ゴーゴージャグラー３,33,1139.2,97.0,3333,83,0.77
444,,25,1380.8,84.0,5209,,0.765
542,ゴーゴージャグラー３,32,1058.5,100.0,3584,,0.765
448,新ハナビ,22,1051.4,100.0,2820,945,0.763
431,,13,1354.2,84.6,6229,,0.762
451,ウルトラミラクルジャグラー,28,1111.0,96.4,5500,,0.76
408,ファンキージャグラー２ＫＴ,29,1002.7,100.0,3708,,0.751
452,ウルトラミラクルジャグラー,34,1040.9,97.1,5396,120,0.746
543,ゴーゴージャグラー３,36,972.3,100.0,3750,,0.743
423,アレックス ブライト,25,1121,92.0,6188,41,0.74
425,L不二子BT,31,941,100.0,4354,,0.735
458,マイジャグラーV,20,903.3,100.0,2645,99,0.726
