daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
821,スマスロモンキーターンV,199,151.2,36.7,15627,,0.221
825,スマスロ スーパーリオエース2,202,123.0,38.1,9488,,0.221
1017,L戦国乙女5 業火を穿つ宿焔の双刃,200,55.3,41.5,14511,8000,0.221
686,,198,40.5,41.9,16000,4372,0.22
1051,,199,122.8,37.7,16325,,0.219
1057,,199,42.3,41.7,16744,5860,0.219
1220,スマスロ 甲鉄城のカバネリ 海門決戦,207,75.7,40.1,12209,4255,0.219
717,,201,2.5,43.3,2883,767,0.217
880,,207,75.0,39.6,9906,-3582,0.217
1065,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,201,91.6,38.8,15488,,0.217
1253,L ToLOVEるダークネス,202,94.8,38.6,15069,7558,0.217
871,,200,64.3,40.0,10604,,0.216
680,,207,-14.8,43.0,12372,4534,0.215
751,,202,-112.4,43.1,11720,2558,0.215
1025,L戦国乙女5 業火を穿つ宿焔の双刃,202,-2.0,43.1,9906,4651,0.215
622,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,205,64.2,39.5,13674,8255,0.214
1176,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,97.2,38.0,10744,,0.214
1288,L ToLOVEるダークネス,200,47.6,40.5,11720,,0.214
832,Lパチスロ炎炎ノ消防隊2,204,37.4,40.7,12837,,0.213
1106,,201,28.0,41.3,14325,,0.213
872,,198,-41.4,42.4,10465,,0.212
688,,200,24.9,41.0,16744,,0.211
730,戦国コレクション6,207,33.6,40.6,14000,-1628,0.211
763,スマスロ スーパーブラックジャック,200,52.6,39.5,12534,4116,0.211
1082,Lソードアート・オンライン,202,11.9,41.6,9488,,0.211
1302,Lパチスロ革命機ヴァルヴレイヴ2,202,23.8,41.1,14697,930,0.211
651,スマスロ 攻殻機動隊,200,-9.7,42.0,16534,,0.21
737,スマスロ とんでもスキルで異世界放浪メシ,205,-67.1,42.0,13511,3627,0.21
1012,L戦国乙女5 業火を穿つ宿焔の双刃,202,24.2,40.6,18000,,0.209
652,スマスロ 攻殻機動隊,203,62.1,38.4,18604,,0.208
1150,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,207,-5.2,41.5,10744,-4884,0.208
1205,,202,48.0,39.1,13511,,0.208
637,,199,53.4,38.7,13348,,0.207
701,,201,42.1,39.3,16116,4255,0.207
755,,203,-73.2,41.4,13186,,0.207
1055,,200,79.0,37.5,13348,,0.207
830,Lパチスロ炎炎ノ消防隊2,207,64.7,37.7,9767,-1163,0.205
1020,L戦国乙女5 業火を穿つ宿焔の双刃,207,-118.8,41.1,10883,-1605,0.205
656,スマスロ 攻殻機動隊,198,28.4,39.4,15069,,0.204
818,スマスロモンキーターンV,199,-42.4,40.7,16953,,0.204
881,L無職転生～異世界行ったら本気だす～,201,98.9,35.8,10744,10744,0.204
666,,203,62.3,37.4,18604,,0.203
856,スロット ゾンビランドサガ,198,74.9,36.9,14697,,0.203
762,スマスロ スーパーブラックジャック,202,76.3,36.6,14325,8720,0.202
855,スロット ゾンビランドサガ,202,24.2,39.1,18604,,0.202
655,スマスロ 攻殻機動隊,201,-10.8,40.3,11860,,0.201
718,戦国コレクション6,201,-90.4,40.3,14000,,0.201
1071,,201,-48.5,40.3,9534,604,0.201
1203,,202,-74.0,40.1,16116,9209,0.2
1158,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,3.3,39.6,11441,0,0.199
760,スマスロ スーパーブラックジャック,207,-120.7,39.6,12697,465,0.198
670,,207,23.3,38.2,12697,-594,0.197
817,スマスロモンキーターンV,199,8.5,38.7,14860,,0.196
852,Lパチスロ炎炎ノ消防隊2,200,-7.4,39.0,9186,,0.195
660,,207,13.0,38.2,16744,-2373,0.194
608,Lバンドリ！,200,-4.4,38.5,13348,,0.193
850,Lパチスロ炎炎ノ消防隊2,207,-5.8,38.6,8720,-442,0.193
1252,L ToLOVEるダークネス,201,-53.9,38.3,13023,8720,0.192
720,戦国コレクション6,207,-134.2,38.2,13511,-3117,0.191
638,,200,-74.0,38.0,16953,2558,0.19
768,スマスロ スーパーブラックジャック,200,-56.8,37.5,9186,8139,0.188
650,スマスロ 攻殻機動隊,207,-114.2,37.2,17372,-1907,0.186
700,,207,-271.1,37.2,17372,6604,0.186
703,,202,-116.4,37.1,14511,6627,0.186
727,戦国コレクション6,200,-209.6,37.0,10883,0,0.185
1067,,200,-87.7,37.0,12697,,0.185
733,スマスロ とんでもスキルで異世界放浪メシ,201,-413.7,36.8,18000,,0.184
1061,,201,-36.0,36.8,11581,,0.184
606,Lバンドリ！,200,2.5,36.5,13186,5302,0.183
661,,201,-379.2,36.3,13023,465,0.182
662,,200,-157.7,36.5,13395,5720,0.182
868,,201,23.3,35.3,16534,,0.182
1062,,199,11.5,35.7,14139,,0.181
1182,,202,-78.7,36.1,17372,,0.181
820,スマスロモンキーターンV,207,1.8,35.7,14697,1534,0.179
822,スマスロ スーパーリオエース2,202,-136.5,35.6,19069,906,0.178
705,,199,-80.2,35.2,10883,,0.176
1307,Lパチスロ革命機ヴァルヴレイヴ2,202,-4.6,35.1,13023,,0.176
758,スマスロ スーパーブラックジャック,200,-142.4,35.0,10186,,0.175
1301,Lパチスロ革命機ヴァルヴレイヴ2,200,-174.3,34.0,10186,9534,0.17
831,Lパチスロ炎炎ノ消防隊2,199,-34.9,33.2,12209,,0.166
1068,SHAKE BONUS TRIGGER,199,-176.4,33.2,15627,,0.166
